exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
gocart,0.5533333333333333,0.22333333333333333,0.49000000000000005,0.4166666666666667,0.3566666666666667,0.32999999999999996,0.38333333333333336,0.3,0.22666666666666666,0.58,1.0,0.23333333333333334,0.25357142857142856,0.44642857142857145,0.4642857142857143,0.4821428571428571,0.25357142857142856,0.29642857142857143,0.4428571428571429,0.22857142857142856,0.5392857142857144,0.49642857142857144,0.5285714285714286,0.39285714285714285,0.39285714285714285,0.3142857142857143,0.30714285714285716,0.25357142857142856,0.37857142857142856,0.24642857142857144
helikopter,0.31333333333333335,0.2533333333333333,0.2833333333333333,0.2866666666666667,0.32333333333333336,0.27999999999999997,0.2866666666666667,0.2733333333333333,0.2733333333333333,0.24666666666666667,0.23333333333333334,1.0,0.36428571428571427,0.3107142857142857,0.26785714285714285,0.2785714285714286,0.6071428571428571,0.2857142857142857,0.32142857142857145,0.4428571428571429,0.23214285714285715,0.25357142857142856,0.21785714285714283,0.30714285714285716,0.3,0.30714285714285716,0.3142857142857143,0.7214285714285714,0.32142857142857145,0.5678571428571428
hovercraft,0.30357142857142855,0.7821428571428571,0.2357142857142857,0.28214285714285714,0.36428571428571427,0.37142857142857144,0.25357142857142856,0.3321428571428572,0.5392857142857144,0.21428571428571427,0.25357142857142856,0.36428571428571427,1.0,0.32142857142857145,0.26785714285714285,0.31785714285714284,0.43928571428571433,0.2785714285714286,0.28928571428571426,0.35714285714285715,0.2642857142857143,0.35,0.21071428571428572,0.3107142857142857,0.2928571428571428,0.35,0.3392857142857143,0.4428571428571429,0.3107142857142857,0.45714285714285713
jeep,0.8607142857142858,0.32857142857142857,0.4321428571428571,0.39642857142857146,0.5,0.6178571428571429,0.6142857142857143,0.40714285714285714,0.3107142857142857,0.3142857142857143,0.44642857142857145,0.3107142857142857,0.32142857142857145,1.0,0.43928571428571433,0.48571428571428565,0.2571428571428572,0.31785714285714284,0.4714285714285714,0.26071428571428573,0.30357142857142855,0.28928571428571426,0.30357142857142855,0.65,0.5571428571428572,0.32142857142857145,0.3821428571428572,0.32857142857142857,0.6,0.22857142857142856
kar,0.5321428571428571,0.32142857142857145,0.35,0.36428571428571427,0.3678571428571428,0.43928571428571433,0.4642857142857143,0.5285714285714286,0.26785714285714285,0.41785714285714287,0.4642857142857143,0.26785714285714285,0.26785714285714285,0.43928571428571433,1.0,0.75,0.275,0.35357142857142854,0.33571428571428574,0.22142857142857145,0.38571428571428573,0.5714285714285714,0.42142857142857143,0.49642857142857144,0.45357142857142857,0.40714285714285714,0.42142857142857143,0.23928571428571427,0.45357142857142857,0.24642857142857144
koets,0.5392857142857144,0.35,0.32857142857142857,0.35357142857142854,0.47857142857142854,0.45,0.46785714285714286,0.525,0.25357142857142856,0.4428571428571429,0.4821428571428571,0.2785714285714286,0.31785714285714284,0.48571428571428565,0.75,1.0,0.35357142857142854,0.4321428571428571,0.30357142857142855,0.23928571428571427,0.35714285714285715,0.5642857142857143,0.325,0.5464285714285715,0.4607142857142857,0.5,0.48571428571428565,0.32142857142857145,0.4428571428571429,0.2857142857142857
luchtballon,0.2642857142857143,0.325,0.275,0.275,0.2785714285714286,0.30357142857142855,0.2857142857142857,0.27142857142857146,0.29642857142857143,0.22857142857142856,0.25357142857142856,0.6071428571428571,0.43928571428571433,0.2571428571428572,0.275,0.35357142857142854,1.0,0.2642857142857143,0.26785714285714285,0.42857142857142855,0.22142857142857145,0.2571428571428572,0.2357142857142857,0.2785714285714286,0.2357142857142857,0.26071428571428573,0.25357142857142856,0.6071428571428571,0.3142857142857143,0.8285714285714286
metrostel,0.3678571428571428,0.3107142857142857,0.30714285714285716,0.29642857142857143,0.5928571428571429,0.43571428571428567,0.3821428571428572,0.425,0.3821428571428572,0.29642857142857143,0.29642857142857143,0.2857142857142857,0.2785714285714286,0.31785714285714284,0.35357142857142854,0.4321428571428571,0.2642857142857143,1.0,0.28928571428571426,0.2928571428571428,0.24285714285714283,0.3107142857142857,0.25357142857142856,0.41785714285714287,0.275,0.8142857142857143,0.7892857142857144,0.33571428571428574,0.41785714285714287,0.25357142857142856
moto,0.5035714285714286,0.26071428571428573,0.8535714285714286,0.8928571428571429,0.38571428571428573,0.37142857142857144,0.34285714285714286,0.30714285714285716,0.25357142857142856,0.6928571428571428,0.4428571428571429,0.32142857142857145,0.28928571428571426,0.4714285714285714,0.33571428571428574,0.30357142857142855,0.26785714285714285,0.28928571428571426,1.0,0.30357142857142855,0.38571428571428573,0.32857142857142857,0.4607142857142857,0.45,0.40714285714285714,0.29642857142857143,0.30714285714285716,0.3142857142857143,0.42142857142857143,0.30357142857142855
raket,0.27142857142857146,0.28214285714285714,0.24285714285714283,0.2642857142857143,0.3321428571428572,0.275,0.24285714285714283,0.2571428571428572,0.39642857142857146,0.23928571428571427,0.22857142857142856,0.4428571428571429,0.35714285714285715,0.26071428571428573,0.22142857142857145,0.23928571428571427,0.42857142857142855,0.2928571428571428,0.30357142857142855,1.0,0.25357142857142856,0.20357142857142857,0.225,0.2642857142857143,0.24285714285714283,0.2785714285714286,0.35714285714285715,0.6,0.31785714285714284,0.41785714285714287
