exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
fireman,4.0,2.0,2.0,6.0,4.0,6.0,6.0,8.0,9.0,5.0,20.0,8.0,3.0,7.0,4.0,3.0,5.0,4.0,5.0,8.0,3.0,15.0,4.0,6.0,7.0,12.0,2.0,8.0,7.0,4.0
garbage collector,4.0,5.0,7.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,8.0,20.0,7.0,8.0,4.0,4.0,5.0,4.0,8.0,6.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,4.0,4.0,4.0
information scientist,12.0,4.0,7.0,6.0,8.0,6.0,7.0,5.0,4.0,8.0,3.0,7.0,20.0,3.0,14.0,9.0,4.0,4.0,8.0,6.0,8.0,3.0,8.0,4.0,7.0,5.0,4.0,4.0,5.0,4.0
judge,12.0,7.0,4.0,5.0,3.0,6.0,2.0,4.0,10.0,2.0,7.0,8.0,3.0,20.0,18.0,7.0,9.0,6.0,4.0,4.0,4.0,11.0,3.0,3.0,9.0,6.0,3.0,3.0,8.0,7.0
lawyer,6.0,13.0,5.0,4.0,8.0,4.0,4.0,7.0,13.0,4.0,4.0,4.0,14.0,18.0,20.0,7.0,11.0,7.0,7.0,2.0,8.0,4.0,4.0,8.0,7.0,4.0,3.0,6.0,14.0,6.0
manager,11.0,10.0,7.0,12.0,6.0,1.0,7.0,2.0,8.0,11.0,3.0,4.0,9.0,7.0,7.0,20.0,13.0,9.0,11.0,9.0,2.0,4.0,5.0,8.0,14.0,3.0,2.0,6.0,15.0,4.0
minister,13.0,13.0,5.0,9.0,4.0,2.0,6.0,4.0,5.0,6.0,5.0,5.0,4.0,9.0,11.0,13.0,20.0,4.0,4.0,4.0,7.0,6.0,4.0,1.0,3.0,5.0,13.0,7.0,7.0,1.0
pharmacist,8.0,4.0,4.0,5.0,10.0,8.0,5.0,17.0,13.0,9.0,4.0,4.0,4.0,6.0,7.0,9.0,4.0,20.0,15.0,4.0,6.0,4.0,6.0,5.0,8.0,1.0,4.0,4.0,8.0,13.0
physiotherapist,8.0,5.0,4.0,5.0,4.0,7.0,4.0,11.0,17.0,7.0,5.0,8.0,8.0,4.0,7.0,11.0,4.0,15.0,20.0,5.0,13.0,8.0,4.0,12.0,2.0,3.0,4.0,7.0,9.0,9.0
pilot,8.0,7.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,14.0,8.0,6.0,6.0,4.0,2.0,9.0,4.0,4.0,5.0,20.0,6.0,10.0,4.0,1.0,4.0,4.0,3.0,17.0,4.0,4.0
plumber,3.0,4.0,8.0,9.0,7.0,8.0,5.0,7.0,8.0,5.0,3.0,4.0,8.0,4.0,8.0,2.0,7.0,6.0,13.0,6.0,20.0,4.0,3.0,7.0,5.0,4.0,8.0,4.0,4.0,4.0
police officer,5.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,15.0,4.0,3.0,11.0,4.0,4.0,6.0,4.0,8.0,10.0,4.0,20.0,3.0,2.0,2.0,5.0,7.0,5.0,5.0,2.0
postman,16.0,4.0,5.0,4.0,6.0,5.0,11.0,3.0,5.0,8.0,4.0,4.0,8.0,3.0,4.0,5.0,4.0,6.0,4.0,4.0,3.0,3.0,20.0,4.0,4.0,7.0,5.0,5.0,7.0,7.0
psychologist,5.0,7.0,12.0,4.0,4.0,2.0,4.0,6.0,11.0,16.0,6.0,4.0,4.0,3.0,8.0,8.0,1.0,5.0,12.0,1.0,7.0,2.0,4.0,20.0,8.0,3.0,4.0,8.0,14.0,8.0
secretary,14.0,7.0,4.0,7.0,4.0,4.0,4.0,3.0,2.0,8.0,7.0,4.0,7.0,9.0,7.0,14.0,3.0,8.0,2.0,4.0,5.0,2.0,4.0,8.0,20.0,11.0,3.0,13.0,11.0,4.0
shop-assistant,9.0,7.0,6.0,3.0,12.0,9.0,4.0,7.0,6.0,7.0,12.0,7.0,5.0,6.0,4.0,3.0,5.0,1.0,3.0,4.0,4.0,5.0,7.0,3.0,11.0,20.0,16.0,8.0,3.0,4.0
stallholder,5.0,7.0,4.0,5.0,6.0,9.0,3.0,3.0,7.0,4.0,2.0,5.0,4.0,3.0,3.0,2.0,13.0,4.0,4.0,3.0,8.0,7.0,5.0,4.0,3.0,16.0,20.0,12.0,7.0,7.0
stewardess,7.0,11.0,4.0,4.0,7.0,4.0,8.0,4.0,4.0,3.0,8.0,4.0,4.0,3.0,6.0,6.0,7.0,4.0,7.0,17.0,4.0,5.0,5.0,8.0,13.0,8.0,12.0,20.0,10.0,2.0
teacher,8.0,6.0,6.0,4.0,2.0,6.0,7.0,7.0,9.0,12.0,7.0,4.0,5.0,8.0,14.0,15.0,7.0,8.0,9.0,4.0,4.0,5.0,7.0,14.0,11.0,3.0,7.0,10.0,20.0,4.0
veterinarian,7.0,4.0,4.0,9.0,2.0,11.0,4.0,7.0,17.0,5.0,4.0,4.0,4.0,7.0,6.0,4.0,1.0,13.0,9.0,4.0,4.0,2.0,7.0,8.0,4.0,4.0,7.0,2.0,4.0,20.0
