exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
plumber,3.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,20.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
police officer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,11.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,20.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0
postman,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,20.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0
psychologist,5.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,13.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,20.0,3.0,2.0,3.0,3.0,7.0,3.0
secretary,10.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,20.0,3.0,2.0,8.0,2.0,3.0
shop-assistant,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,10.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,20.0,7.0,3.0,3.0,3.0
stallholder,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,7.0,20.0,2.0,3.0,2.0
stewardess,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,7.0,2.0,2.0,2.0,3.0,8.0,3.0,2.0,20.0,3.0,3.0
teacher,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,13.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,2.0,3.0,3.0,3.0,20.0,3.0
veterinarian,3.0,3.0,4.0,3.0,3.0,3.0,3.0,13.0,13.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,20.0
