exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
fireman,9.0,9.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,20.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,8.0,10.0,11.0,15.0,7.0,9.0,8.0,9.0,7.0,10.0,8.0,8.0
garbage collector,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,20.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,6.0,12.0,10.0,11.0,9.0,8.0,9.0,10.0,5.0,7.0,8.0
information scientist,11.0,8.0,11.0,12.0,8.0,5.0,10.0,14.0,13.0,8.0,9.0,9.0,20.0,13.0,11.0,13.0,14.0,13.0,10.0,13.0,8.0,9.0,9.0,11.0,8.0,7.0,3.0,9.0,6.0,9.0
judge,9.0,9.0,8.0,10.0,7.0,8.0,8.0,12.0,16.0,7.0,9.0,9.0,13.0,20.0,16.0,15.0,14.0,11.0,12.0,14.0,8.0,10.0,7.0,14.0,8.0,7.0,7.0,4.0,5.0,9.0
lawyer,9.0,8.0,11.0,13.0,7.0,9.0,9.0,11.0,15.0,9.0,7.0,7.0,11.0,16.0,20.0,15.0,15.0,15.0,11.0,13.0,9.0,12.0,8.0,13.0,8.0,8.0,7.0,9.0,10.0,9.0
manager,11.0,8.0,11.0,12.0,8.0,8.0,8.0,9.0,13.0,8.0,9.0,9.0,13.0,15.0,15.0,20.0,14.0,15.0,11.0,12.0,5.0,9.0,8.0,14.0,9.0,9.0,7.0,8.0,9.0,9.0
minister,9.0,7.0,9.0,14.0,5.0,9.0,10.0,9.0,13.0,7.0,8.0,9.0,14.0,14.0,15.0,14.0,20.0,12.0,11.0,14.0,9.0,8.0,9.0,13.0,7.0,7.0,6.0,9.0,8.0,9.0
pharmacist,8.0,8.0,9.0,12.0,9.0,7.0,9.0,13.0,14.0,9.0,9.0,9.0,13.0,11.0,15.0,15.0,12.0,20.0,11.0,13.0,7.0,9.0,9.0,15.0,7.0,7.0,8.0,10.0,8.0,9.0
physiotherapist,8.0,6.0,11.0,12.0,9.0,8.0,9.0,14.0,15.0,8.0,8.0,9.0,10.0,12.0,11.0,11.0,11.0,11.0,20.0,11.0,9.0,9.0,9.0,12.0,9.0,5.0,7.0,9.0,9.0,10.0
pilot,9.0,8.0,12.0,13.0,9.0,8.0,9.0,11.0,13.0,8.0,10.0,6.0,13.0,14.0,13.0,12.0,14.0,13.0,11.0,20.0,9.0,8.0,8.0,13.0,7.0,8.0,4.0,15.0,7.0,5.0
plumber,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,11.0,12.0,8.0,8.0,9.0,5.0,9.0,7.0,9.0,9.0,20.0,7.0,12.0,9.0,11.0,4.0,10.0,7.0,9.0,9.0
police officer,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,15.0,10.0,9.0,10.0,12.0,9.0,8.0,9.0,9.0,8.0,7.0,20.0,8.0,9.0,6.0,11.0,7.0,11.0,8.0,8.0
postman,10.0,9.0,8.0,8.0,10.0,11.0,5.0,9.0,7.0,10.0,7.0,11.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,12.0,8.0,20.0,6.0,12.0,13.0,10.0,9.0,7.0,9.0
psychologist,9.0,7.0,10.0,12.0,9.0,7.0,9.0,10.0,15.0,9.0,9.0,9.0,11.0,14.0,13.0,14.0,13.0,15.0,12.0,13.0,9.0,9.0,6.0,20.0,8.0,8.0,8.0,8.0,9.0,9.0
secretary,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,7.0,11.0,6.0,12.0,8.0,20.0,12.0,7.0,9.0,13.0,5.0
shop-assistant,7.0,5.0,9.0,7.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,7.0,7.0,8.0,9.0,7.0,7.0,5.0,8.0,4.0,11.0,13.0,8.0,12.0,20.0,11.0,9.0,10.0,5.0
stallholder,9.0,9.0,9.0,8.0,10.0,9.0,11.0,8.0,8.0,6.0,7.0,10.0,3.0,7.0,7.0,7.0,6.0,8.0,7.0,4.0,10.0,7.0,10.0,8.0,7.0,11.0,20.0,8.0,8.0,7.0
stewardess,8.0,12.0,10.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,5.0,9.0,4.0,9.0,8.0,9.0,10.0,9.0,15.0,7.0,11.0,9.0,8.0,9.0,9.0,8.0,20.0,8.0,9.0
teacher,10.0,9.0,9.0,8.0,10.0,8.0,12.0,9.0,8.0,14.0,8.0,7.0,6.0,5.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0,7.0,9.0,13.0,10.0,8.0,8.0,20.0,7.0
veterinarian,10.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,5.0,9.0,8.0,9.0,9.0,5.0,5.0,7.0,9.0,7.0,20.0
