exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
pot,16.0,5.0,12.0,2.0,4.0,3.0,13.0,3.0,6.0,2.0,10.0,4.0,6.0,1.0,7.0,2.0,10.0,18.0,9.0,3.0,8.0,20.0,2.0,3.0,8.0,3.0,6.0,3.0,2.0,4.0,2.0,4.0,15.0
scales,3.0,2.0,9.0,7.0,2.0,3.0,2.0,8.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,6.0,2.0,2.0,2.0,5.0,2.0,2.0,20.0,12.0,4.0,9.0,1.0,2.0,3.0,8.0,7.0,1.0,2.0
scissors,12.0,2.0,2.0,14.0,3.0,2.0,3.0,3.0,10.0,10.0,3.0,15.0,3.0,9.0,12.0,9.0,2.0,2.0,2.0,7.0,3.0,3.0,12.0,20.0,10.0,8.0,3.0,2.0,8.0,2.0,1.0,8.0,6.0
sieve,3.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,7.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,9.0,5.0,2.0,3.0,8.0,4.0,10.0,20.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,1.0
spatula,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,6.0,4.0,16.0,6.0,2.0,2.0,4.0,5.0,3.0,7.0,3.0,8.0,3.0,3.0,9.0,8.0,2.0,20.0,12.0,2.0,10.0,3.0,4.0,9.0,2.0
spoon,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,16.0,5.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,6.0,1.0,3.0,3.0,12.0,20.0,3.0,19.0,4.0,2.0,8.0,3.0
stove,12.0,3.0,3.0,5.0,8.0,2.0,2.0,8.0,5.0,3.0,5.0,10.0,13.0,6.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,20.0,3.0,3.0,4.0,2.0,1.0
teaspoon,4.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,15.0,9.0,2.0,5.0,6.0,3.0,2.0,2.0,8.0,5.0,3.0,2.0,3.0,8.0,5.0,10.0,19.0,3.0,20.0,4.0,3.0,2.0,3.0
toaster,4.0,3.0,2.0,4.0,3.0,5.0,6.0,5.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,7.0,16.0,8.0,4.0,8.0,2.0,2.0,3.0,4.0,3.0,4.0,20.0,3.0,3.0,1.0
towel,6.0,1.0,3.0,3.0,1.0,5.0,3.0,2.0,2.0,2.0,7.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,7.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,20.0,6.0,5.0
whisk,2.0,3.0,6.0,6.0,3.0,3.0,6.0,4.0,3.0,10.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,5.0,8.0,13.0,4.0,4.0,1.0,8.0,2.0,9.0,8.0,2.0,2.0,3.0,6.0,20.0,4.0
wok,12.0,6.0,9.0,3.0,4.0,4.0,2.0,8.0,10.0,4.0,3.0,2.0,3.0,6.0,9.0,2.0,10.0,16.0,5.0,1.0,13.0,15.0,2.0,6.0,1.0,2.0,3.0,1.0,3.0,1.0,5.0,4.0,20.0
