exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
flee,10.0,14.0,11.0,9.0,9.0,10.0,13.0,10.0,10.0,9.0,11.0,14.0,20.0,9.0,15.0,11.0,11.0,10.0,13.0,19.0,18.0,15.0,11.0,11.0,12.0,7.0
fly,9.0,15.0,11.0,17.0,10.0,12.0,10.0,13.0,10.0,9.0,15.0,12.0,9.0,20.0,18.0,10.0,15.0,14.0,6.0,9.0,15.0,17.0,10.0,13.0,10.0,9.0
fruit fly,9.0,15.0,9.0,11.0,14.0,11.0,12.0,13.0,9.0,11.0,13.0,15.0,15.0,18.0,20.0,9.0,14.0,12.0,9.0,9.0,17.0,12.0,5.0,17.0,11.0,9.0
grasshopper,9.0,9.0,11.0,9.0,11.0,12.0,12.0,13.0,10.0,14.0,16.0,10.0,11.0,10.0,9.0,20.0,10.0,13.0,10.0,10.0,11.0,11.0,10.0,9.0,12.0,7.0
horsefly,9.0,17.0,14.0,14.0,8.0,11.0,14.0,12.0,15.0,7.0,15.0,10.0,11.0,15.0,14.0,10.0,20.0,10.0,18.0,13.0,19.0,14.0,10.0,16.0,13.0,8.0
ladybug,8.0,14.0,15.0,13.0,9.0,8.0,11.0,10.0,11.0,14.0,13.0,8.0,10.0,14.0,12.0,13.0,10.0,20.0,4.0,9.0,7.0,13.0,9.0,9.0,9.0,9.0
leech,10.0,11.0,10.0,7.0,8.0,9.0,14.0,9.0,10.0,9.0,17.0,11.0,13.0,6.0,9.0,10.0,18.0,4.0,20.0,12.0,18.0,11.0,9.0,10.0,10.0,11.0
louse,11.0,10.0,11.0,8.0,9.0,14.0,12.0,12.0,9.0,9.0,10.0,14.0,19.0,9.0,9.0,10.0,13.0,9.0,12.0,20.0,10.0,14.0,15.0,12.0,16.0,9.0
mosquito,8.0,16.0,2.0,12.0,12.0,9.0,10.0,12.0,10.0,11.0,16.0,11.0,18.0,15.0,17.0,11.0,19.0,7.0,18.0,10.0,20.0,12.0,10.0,18.0,10.0,12.0
moth,9.0,13.0,9.0,11.0,15.0,10.0,9.0,9.0,10.0,9.0,13.0,9.0,15.0,17.0,12.0,11.0,14.0,13.0,11.0,14.0,12.0,20.0,10.0,13.0,15.0,8.0
spider,8.0,6.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,5.0,10.0,9.0,11.0,10.0,5.0,10.0,10.0,9.0,9.0,15.0,10.0,10.0,20.0,9.0,15.0,9.0
wasp,9.0,19.0,11.0,15.0,10.0,9.0,8.0,10.0,8.0,10.0,12.0,10.0,11.0,13.0,17.0,9.0,16.0,9.0,10.0,12.0,18.0,13.0,9.0,20.0,9.0,9.0
wood louse,11.0,9.0,12.0,9.0,7.0,15.0,13.0,14.0,12.0,10.0,10.0,11.0,12.0,10.0,11.0,12.0,13.0,9.0,10.0,16.0,10.0,15.0,15.0,9.0,20.0,9.0
worm,10.0,9.0,10.0,7.0,8.0,17.0,13.0,7.0,10.0,9.0,9.0,13.0,7.0,9.0,9.0,7.0,8.0,9.0,11.0,9.0,12.0,8.0,9.0,9.0,9.0,20.0
