exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
horsefly,7.0,10.0,7.0,9.0,7.0,7.0,7.0,6.0,6.0,6.0,11.0,10.0,5.0,12.0,9.0,6.0,20.0,10.0,11.0,8.0,13.0,7.0,7.0,7.0,6.0,10.0
ladybug,7.0,5.0,19.0,7.0,10.0,7.0,7.0,15.0,5.0,7.0,7.0,6.0,7.0,8.0,8.0,7.0,10.0,20.0,9.0,5.0,6.0,8.0,4.0,6.0,4.0,5.0
leech,6.0,6.0,11.0,3.0,1.0,7.0,11.0,6.0,12.0,6.0,8.0,15.0,5.0,7.0,6.0,5.0,11.0,9.0,20.0,11.0,13.0,7.0,14.0,8.0,8.0,7.0
louse,8.0,5.0,8.0,6.0,6.0,7.0,7.0,6.0,14.0,8.0,7.0,8.0,15.0,7.0,6.0,7.0,8.0,5.0,11.0,20.0,6.0,7.0,9.0,10.0,8.0,6.0
mosquito,6.0,11.0,5.0,9.0,9.0,9.0,6.0,6.0,6.0,5.0,18.0,5.0,9.0,10.0,10.0,7.0,13.0,6.0,13.0,6.0,20.0,13.0,6.0,9.0,6.0,4.0
moth,4.0,7.0,12.0,6.0,8.0,5.0,5.0,6.0,5.0,8.0,10.0,7.0,8.0,10.0,8.0,6.0,7.0,8.0,7.0,7.0,13.0,20.0,6.0,7.0,6.0,7.0
spider,7.0,6.0,9.0,6.0,4.0,7.0,7.0,6.0,7.0,5.0,10.0,7.0,8.0,7.0,8.0,7.0,7.0,4.0,14.0,9.0,6.0,6.0,20.0,7.0,9.0,5.0
wasp,6.0,16.0,6.0,19.0,10.0,5.0,6.0,5.0,6.0,6.0,12.0,6.0,7.0,10.0,8.0,6.0,7.0,6.0,8.0,10.0,9.0,7.0,7.0,20.0,7.0,5.0
wood louse,11.0,6.0,9.0,5.0,4.0,4.0,7.0,6.0,10.0,7.0,4.0,12.0,8.0,6.0,7.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,9.0,7.0,20.0,4.0
worm,7.0,7.0,7.0,6.0,7.0,12.0,8.0,6.0,11.0,5.0,6.0,8.0,5.0,5.0,4.0,6.0,10.0,5.0,7.0,6.0,4.0,7.0,5.0,5.0,4.0,20.0
