exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
earwig,8.0,8.0,9.0,7.0,7.0,9.0,5.0,8.0,8.0,5.0,8.0,20.0,8.0,6.0,8.0,6.0,4.0,5.0,7.0,5.0,6.0,6.0,4.0,3.0,5.0,19.0
flee,5.0,12.0,7.0,6.0,6.0,6.0,9.0,9.0,10.0,9.0,12.0,8.0,20.0,13.0,11.0,5.0,11.0,7.0,16.0,13.0,15.0,10.0,16.0,8.0,11.0,6.0
fly,10.0,14.0,7.0,12.0,14.0,6.0,6.0,8.0,11.0,10.0,8.0,6.0,13.0,20.0,19.0,4.0,17.0,13.0,10.0,14.0,7.0,13.0,12.0,15.0,10.0,5.0
fruit fly,5.0,10.0,8.0,11.0,11.0,9.0,8.0,5.0,7.0,6.0,2.0,8.0,11.0,19.0,20.0,11.0,15.0,11.0,8.0,11.0,11.0,13.0,12.0,14.0,13.0,3.0
grasshopper,3.0,12.0,13.0,12.0,6.0,10.0,5.0,8.0,7.0,18.0,13.0,6.0,5.0,4.0,11.0,20.0,10.0,11.0,4.0,5.0,12.0,8.0,13.0,12.0,9.0,7.0
horsefly,9.0,8.0,8.0,7.0,12.0,8.0,8.0,7.0,7.0,12.0,14.0,4.0,11.0,17.0,15.0,10.0,20.0,8.0,14.0,5.0,16.0,8.0,6.0,16.0,10.0,5.0
ladybug,8.0,6.0,16.0,6.0,6.0,9.0,7.0,5.0,4.0,6.0,8.0,5.0,7.0,13.0,11.0,11.0,8.0,20.0,5.0,8.0,5.0,6.0,15.0,5.0,7.0,4.0
leech,6.0,7.0,6.0,5.0,9.0,6.0,5.0,9.0,14.0,7.0,13.0,7.0,16.0,10.0,8.0,4.0,14.0,5.0,20.0,13.0,16.0,14.0,5.0,7.0,11.0,10.0
louse,5.0,6.0,5.0,9.0,5.0,6.0,9.0,3.0,10.0,6.0,4.0,5.0,13.0,14.0,11.0,5.0,5.0,8.0,13.0,20.0,4.0,10.0,11.0,6.0,8.0,5.0
mosquito,6.0,11.0,1.0,10.0,9.0,9.0,9.0,4.0,7.0,8.0,9.0,6.0,15.0,7.0,11.0,12.0,16.0,5.0,16.0,4.0,20.0,13.0,12.0,11.0,12.0,7.0
moth,9.0,10.0,6.0,12.0,17.0,6.0,10.0,6.0,5.0,9.0,6.0,6.0,10.0,13.0,13.0,8.0,8.0,6.0,14.0,10.0,13.0,20.0,11.0,8.0,8.0,6.0
spider,5.0,7.0,8.0,5.0,8.0,7.0,4.0,7.0,12.0,5.0,9.0,4.0,16.0,12.0,12.0,13.0,6.0,15.0,5.0,11.0,12.0,11.0,20.0,7.0,8.0,6.0
wasp,10.0,18.0,8.0,18.0,7.0,8.0,7.0,8.0,10.0,12.0,14.0,3.0,8.0,15.0,14.0,12.0,16.0,5.0,7.0,6.0,11.0,8.0,7.0,20.0,6.0,7.0
wood louse,6.0,7.0,4.0,5.0,6.0,6.0,9.0,6.0,8.0,5.0,9.0,5.0,11.0,10.0,13.0,9.0,10.0,7.0,11.0,8.0,12.0,8.0,8.0,6.0,20.0,4.0
worm,7.0,8.0,4.0,3.0,7.0,15.0,6.0,6.0,6.0,8.0,6.0,19.0,6.0,5.0,3.0,7.0,5.0,4.0,10.0,5.0,7.0,6.0,6.0,7.0,4.0,20.0
