exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
flee,11.0,15.0,11.0,12.0,10.0,10.0,10.0,9.0,8.0,14.0,11.0,7.0,20.0,15.0,17.0,10.0,12.0,10.0,15.0,19.0,17.0,10.0,11.0,12.0,17.0,6.0
fly,6.0,15.0,13.0,18.0,14.0,6.0,9.0,7.0,7.0,13.0,16.0,4.0,15.0,20.0,19.0,10.0,18.0,10.0,4.0,10.0,16.0,9.0,5.0,14.0,8.0,11.0
fruit fly,10.0,12.0,14.0,18.0,15.0,7.0,6.0,8.0,10.0,7.0,12.0,5.0,17.0,19.0,20.0,10.0,17.0,7.0,10.0,12.0,17.0,10.0,6.0,10.0,6.0,5.0
grasshopper,9.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,12.0,7.0,7.0,10.0,10.0,10.0,20.0,10.0,7.0,8.0,7.0,6.0,5.0,12.0,8.0,7.0,7.0
horsefly,6.0,17.0,6.0,18.0,5.0,8.0,5.0,7.0,6.0,10.0,11.0,4.0,12.0,18.0,17.0,10.0,20.0,5.0,9.0,9.0,5.0,12.0,5.0,17.0,8.0,4.0
ladybug,10.0,10.0,17.0,8.0,7.0,10.0,10.0,12.0,12.0,12.0,13.0,4.0,10.0,10.0,7.0,7.0,5.0,20.0,8.0,9.0,5.0,6.0,5.0,7.0,7.0,6.0
leech,17.0,9.0,12.0,10.0,5.0,11.0,15.0,6.0,7.0,9.0,4.0,9.0,15.0,4.0,10.0,8.0,9.0,8.0,20.0,9.0,8.0,7.0,11.0,8.0,11.0,15.0
louse,6.0,10.0,3.0,12.0,10.0,6.0,9.0,8.0,8.0,7.0,10.0,7.0,19.0,10.0,12.0,7.0,9.0,9.0,9.0,20.0,12.0,10.0,7.0,9.0,14.0,7.0
mosquito,9.0,12.0,10.0,10.0,14.0,7.0,7.0,10.0,8.0,11.0,17.0,5.0,17.0,16.0,17.0,6.0,5.0,5.0,8.0,12.0,20.0,14.0,10.0,11.0,5.0,4.0
moth,5.0,12.0,7.0,11.0,17.0,11.0,5.0,7.0,6.0,8.0,14.0,5.0,10.0,9.0,10.0,5.0,12.0,6.0,7.0,10.0,14.0,20.0,8.0,13.0,7.0,6.0
spider,3.0,7.0,15.0,4.0,10.0,8.0,8.0,7.0,10.0,4.0,12.0,8.0,11.0,5.0,6.0,12.0,5.0,5.0,11.0,7.0,10.0,8.0,20.0,7.0,7.0,5.0
wasp,7.0,19.0,14.0,17.0,15.0,10.0,9.0,11.0,9.0,7.0,11.0,5.0,12.0,14.0,10.0,8.0,17.0,7.0,8.0,9.0,11.0,13.0,7.0,20.0,7.0,4.0
wood louse,12.0,6.0,17.0,10.0,10.0,8.0,15.0,8.0,16.0,15.0,7.0,12.0,17.0,8.0,6.0,7.0,8.0,7.0,11.0,14.0,5.0,7.0,7.0,7.0,20.0,15.0
worm,15.0,8.0,12.0,6.0,10.0,9.0,14.0,4.0,11.0,7.0,10.0,19.0,6.0,11.0,5.0,7.0,4.0,6.0,15.0,7.0,4.0,6.0,5.0,4.0,15.0,20.0
