exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
fox,9.0,7.0,8.0,9.0,5.0,7.0,14.0,6.0,3.0,4.0,20.0,4.0,12.0,5.0,5.0,8.0,5.0,13.0,4.0,7.0,7.0,6.0,7.0,8.0,5.0,11.0,12.0,13.0,18.0,6.0
giraffe,2.0,3.0,3.0,4.0,4.0,9.0,4.0,4.0,7.0,12.0,4.0,20.0,2.0,3.0,6.0,6.0,7.0,9.0,7.0,8.0,2.0,3.0,3.0,3.0,6.0,4.0,4.0,7.0,3.0,11.0
hamster,7.0,7.0,5.0,9.0,3.0,6.0,4.0,4.0,2.0,3.0,12.0,2.0,20.0,12.0,6.0,3.0,4.0,6.0,6.0,4.0,9.0,6.0,3.0,12.0,3.0,9.0,16.0,8.0,3.0,3.0
hedgehog,3.0,9.0,6.0,7.0,2.0,5.0,6.0,4.0,3.0,2.0,5.0,3.0,12.0,20.0,3.0,3.0,4.0,3.0,3.0,4.0,8.0,7.0,6.0,9.0,4.0,4.0,13.0,4.0,6.0,3.0
hippopotamus,2.0,8.0,4.0,4.0,14.0,11.0,5.0,6.0,6.0,11.0,5.0,6.0,6.0,3.0,20.0,7.0,6.0,7.0,7.0,15.0,2.0,14.0,8.0,4.0,19.0,4.0,3.0,2.0,5.0,4.0
horse,3.0,3.0,7.0,4.0,14.0,11.0,7.0,14.0,8.0,10.0,8.0,6.0,3.0,3.0,7.0,20.0,4.0,7.0,12.0,6.0,3.0,6.0,7.0,6.0,7.0,8.0,3.0,7.0,8.0,16.0
kangaroo,3.0,8.0,4.0,3.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,4.0,6.0,4.0,20.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,7.0,4.0,7.0,6.0,3.0,6.0
lion,2.0,7.0,11.0,12.0,6.0,3.0,12.0,9.0,4.0,4.0,13.0,9.0,6.0,3.0,7.0,7.0,4.0,20.0,7.0,6.0,5.0,6.0,7.0,6.0,6.0,8.0,7.0,15.0,12.0,8.0
llama,2.0,4.0,14.0,7.0,8.0,7.0,9.0,14.0,13.0,6.0,4.0,7.0,6.0,3.0,7.0,12.0,5.0,7.0,20.0,4.0,2.0,7.0,8.0,5.0,9.0,11.0,5.0,5.0,6.0,9.0
monkey,3.0,4.0,6.0,4.0,4.0,3.0,7.0,5.0,4.0,6.0,7.0,8.0,4.0,4.0,15.0,6.0,4.0,6.0,4.0,20.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,8.0,6.0,6.0
mouse,3.0,6.0,4.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,7.0,2.0,9.0,8.0,2.0,3.0,4.0,5.0,2.0,6.0,20.0,5.0,3.0,8.0,2.0,4.0,6.0,7.0,4.0,2.0
pig,2.0,13.0,13.0,4.0,7.0,7.0,6.0,8.0,3.0,6.0,6.0,3.0,6.0,7.0,14.0,6.0,5.0,6.0,7.0,5.0,5.0,20.0,7.0,7.0,9.0,7.0,3.0,5.0,9.0,7.0
polar bear,2.0,12.0,11.0,4.0,4.0,4.0,8.0,6.0,6.0,8.0,7.0,3.0,3.0,6.0,8.0,7.0,5.0,7.0,8.0,4.0,3.0,7.0,20.0,6.0,8.0,8.0,3.0,6.0,7.0,12.0
rabbit,2.0,13.0,5.0,12.0,4.0,6.0,11.0,7.0,3.0,3.0,8.0,3.0,12.0,9.0,4.0,6.0,4.0,6.0,5.0,6.0,8.0,7.0,6.0,20.0,4.0,11.0,12.0,6.0,4.0,4.0
rhinoceros,3.0,9.0,12.0,3.0,8.0,6.0,4.0,4.0,8.0,8.0,5.0,6.0,3.0,4.0,19.0,7.0,7.0,6.0,9.0,4.0,2.0,9.0,8.0,4.0,20.0,6.0,4.0,8.0,4.0,7.0
sheep,2.0,6.0,9.0,7.0,9.0,9.0,7.0,12.0,7.0,8.0,11.0,4.0,9.0,4.0,4.0,8.0,4.0,8.0,11.0,4.0,4.0,7.0,8.0,11.0,6.0,20.0,4.0,9.0,11.0,6.0
squirrel,3.0,8.0,3.0,9.0,3.0,8.0,3.0,7.0,3.0,3.0,12.0,4.0,16.0,13.0,3.0,3.0,7.0,7.0,5.0,4.0,6.0,3.0,3.0,12.0,4.0,4.0,20.0,7.0,7.0,4.0
tiger,3.0,7.0,13.0,15.0,6.0,7.0,8.0,8.0,5.0,4.0,13.0,7.0,8.0,4.0,2.0,7.0,6.0,15.0,5.0,8.0,7.0,5.0,6.0,6.0,8.0,9.0,7.0,20.0,14.0,8.0
wolf,3.0,7.0,7.0,14.0,6.0,9.0,17.0,9.0,3.0,4.0,18.0,3.0,3.0,6.0,5.0,8.0,3.0,12.0,6.0,6.0,4.0,9.0,7.0,4.0,4.0,11.0,7.0,14.0,20.0,4.0
zebra,2.0,7.0,9.0,2.0,15.0,11.0,9.0,12.0,9.0,12.0,6.0,11.0,3.0,3.0,4.0,16.0,6.0,8.0,9.0,6.0,2.0,7.0,12.0,4.0,7.0,6.0,4.0,8.0,4.0,20.0
