exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
peas,19.0,10.0,17.0,4.0,6.0,8.0,7.0,4.0,15.0,15.0,9.0,3.0,6.0,2.0,13.0,3.0,3.0,5.0,1.0,5.0,20.0,2.0,2.0,14.0,15.0,15.0,3.0,4.0,5.0,5.0
pepper,5.0,4.0,4.0,12.0,3.0,3.0,3.0,4.0,2.0,2.0,6.0,15.0,2.0,4.0,5.0,4.0,4.0,3.0,9.0,2.0,2.0,20.0,5.0,3.0,4.0,11.0,9.0,12.0,4.0,2.0
potato,5.0,2.0,3.0,7.0,1.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,5.0,1.0,6.0,2.0,1.0,4.0,5.0,1.0,2.0,5.0,20.0,3.0,6.0,1.0,3.0,2.0,7.0,4.0
radish,14.0,5.0,5.0,18.0,2.0,5.0,11.0,8.0,6.0,5.0,1.0,2.0,4.0,3.0,6.0,5.0,3.0,13.0,2.0,6.0,14.0,3.0,3.0,20.0,6.0,5.0,6.0,15.0,6.0,4.0
red cabbage,17.0,4.0,8.0,19.0,2.0,4.0,13.0,5.0,4.0,2.0,4.0,16.0,3.0,1.0,10.0,5.0,3.0,5.0,5.0,3.0,15.0,4.0,6.0,6.0,20.0,10.0,10.0,4.0,19.0,4.0
spinach,8.0,5.0,15.0,6.0,5.0,3.0,4.0,11.0,6.0,4.0,3.0,5.0,4.0,4.0,12.0,3.0,3.0,14.0,4.0,1.0,15.0,11.0,1.0,5.0,10.0,20.0,4.0,4.0,4.0,4.0
tomato,18.0,2.0,3.0,5.0,4.0,5.0,1.0,7.0,1.0,3.0,3.0,5.0,4.0,1.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,9.0,3.0,6.0,10.0,4.0,20.0,3.0,4.0,3.0
water cress,5.0,14.0,9.0,2.0,2.0,6.0,2.0,8.0,18.0,4.0,6.0,2.0,4.0,5.0,1.0,9.0,5.0,6.0,6.0,3.0,4.0,12.0,2.0,15.0,4.0,4.0,3.0,20.0,3.0,9.0
white cabbage,14.0,6.0,5.0,19.0,5.0,5.0,15.0,14.0,5.0,2.0,2.0,4.0,13.0,6.0,4.0,4.0,6.0,3.0,4.0,2.0,5.0,4.0,7.0,6.0,19.0,4.0,4.0,3.0,20.0,3.0
zucchini,2.0,9.0,9.0,12.0,16.0,4.0,2.0,6.0,5.0,6.0,19.0,15.0,4.0,3.0,16.0,8.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,9.0,3.0,20.0
