exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
cucumber,11.0,9.0,11.0,11.0,8.0,10.0,10.0,12.0,10.0,11.0,20.0,15.0,10.0,9.0,16.0,10.0,14.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,11.0,12.0,11.0,11.0,9.0,18.0
eggplant,11.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,8.0,15.0,20.0,9.0,9.0,13.0,10.0,10.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,16.0
endive,10.0,11.0,9.0,11.0,9.0,9.0,8.0,13.0,10.0,9.0,10.0,9.0,20.0,10.0,9.0,10.0,12.0,9.0,12.0,11.0,10.0,10.0,9.0,11.0,12.0,9.0,10.0,12.0,10.0,10.0
garlic,9.0,9.0,9.0,12.0,10.0,9.0,13.0,9.0,12.0,8.0,9.0,9.0,10.0,20.0,11.0,11.0,10.0,8.0,12.0,14.0,10.0,10.0,10.0,13.0,10.0,9.0,13.0,7.0,10.0,10.0
gherkins,10.0,11.0,11.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,16.0,13.0,9.0,11.0,20.0,9.0,9.0,9.0,11.0,9.0,11.0,12.0,11.0,11.0,9.0,10.0,11.0,10.0,11.0,15.0
leek,9.0,14.0,10.0,14.0,12.0,15.0,11.0,12.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,20.0,10.0,8.0,17.0,12.0,9.0,11.0,12.0,12.0,10.0,10.0,9.0,9.0,11.0,12.0
lettuce,12.0,9.0,9.0,9.0,9.0,9.0,13.0,10.0,12.0,9.0,14.0,10.0,12.0,10.0,9.0,10.0,20.0,9.0,13.0,12.0,8.0,10.0,9.0,11.0,11.0,13.0,10.0,13.0,12.0,9.0
mushrooms,9.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,20.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0
onions,10.0,11.0,10.0,13.0,10.0,12.0,13.0,14.0,9.0,9.0,10.0,9.0,12.0,12.0,11.0,17.0,13.0,10.0,20.0,11.0,9.0,10.0,14.0,13.0,11.0,10.0,11.0,10.0,12.0,11.0
parsley,9.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,15.0,8.0,10.0,9.0,11.0,14.0,9.0,12.0,12.0,11.0,11.0,20.0,10.0,9.0,9.0,9.0,9.0,14.0,9.0,15.0,9.0,9.0
peas,13.0,9.0,12.0,9.0,9.0,12.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,8.0,9.0,10.0,20.0,10.0,13.0,9.0,9.0,10.0,12.0,10.0,9.0,11.0
pepper,9.0,10.0,13.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,12.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0,9.0,10.0,20.0,9.0,9.0,11.0,9.0,14.0,10.0,10.0,11.0
potato,10.0,14.0,10.0,13.0,10.0,12.0,10.0,12.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,9.0,9.0,14.0,9.0,13.0,9.0,20.0,12.0,11.0,9.0,9.0,9.0,10.0,10.0
radish,9.0,12.0,9.0,15.0,10.0,12.0,11.0,14.0,11.0,9.0,10.0,10.0,11.0,13.0,11.0,12.0,11.0,9.0,13.0,9.0,9.0,9.0,12.0,20.0,10.0,9.0,10.0,12.0,10.0,10.0
red cabbage,15.0,9.0,10.0,10.0,9.0,10.0,17.0,12.0,9.0,10.0,11.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,11.0,11.0,10.0,20.0,10.0,10.0,9.0,18.0,10.0
spinach,12.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,13.0,10.0,12.0,9.0,9.0,9.0,10.0,10.0,13.0,9.0,10.0,14.0,10.0,9.0,9.0,9.0,10.0,20.0,9.0,12.0,9.0,9.0
tomato,10.0,9.0,14.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,13.0,11.0,9.0,10.0,11.0,11.0,9.0,12.0,14.0,9.0,10.0,10.0,9.0,20.0,13.0,10.0,10.0
water cress,9.0,9.0,11.0,8.0,9.0,11.0,9.0,9.0,14.0,9.0,11.0,9.0,12.0,7.0,10.0,9.0,13.0,9.0,10.0,15.0,10.0,10.0,9.0,12.0,9.0,12.0,13.0,20.0,9.0,10.0
white cabbage,16.0,10.0,11.0,10.0,11.0,11.0,17.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,12.0,9.0,12.0,9.0,9.0,10.0,10.0,10.0,18.0,9.0,10.0,9.0,20.0,9.0
zucchini,11.0,10.0,13.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,18.0,16.0,10.0,10.0,15.0,12.0,9.0,9.0,11.0,9.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,20.0
