feature,freq
wordt bestuurd door een vrachtwagenchauffeur,7
wordt bewoond door zigeuners,6
wordt gebruik bij reddingsacties,9
wordt gebruikt bij het huwelijk,4
wordt gebruikt bij sport,7
wordt gebruikt door een boer,23
wordt gebruikt door iedereen,4
wordt gebruikt door kinderen,29
wordt gebruikt door politie,5
wordt gebruikt door rijke personen,6
wordt gebruikt door stoere mannen,4
wordt gebruikt door veel jongeren,15
wordt gebruikt in de landbouw,13
wordt gebruikt in de sneeuw,14
wordt gebruikt in de winter,12
wordt gebruikt in de zomer,5
wordt gebruikt in het leger,10
wordt gebruikt om een reis rond de wereld te maken,8
wordt gebruikt om grond te bewerken,9
wordt gebruikt om naar andere planeten te vliegen,21
wordt gebruikt om naar de maan te vliegen,14
wordt gebruikt om te racen,16
wordt gebruikt om te reizen,32
wordt gebruikt om te vissen,4
wordt gebruikt om zich onzichtbaar te verplaatsen,5
wordt gebruikt op de boerderij,8
wordt gebruikt op een schans (of ramp),13
wordt gebruikt tijdens de oorlog,24
wordt gebruikt voor korte afstanden,4
wordt gebruikt voor lange afstanden,17
wordt gebruikt voor onderzoek,4
wordt gebruikt voor safari,6
wordt gebruikt voor wedstrijden,14
wordt gelanceerd,5
wordt niet veel gebruikt,7
wordt onderverdeeld in A-klasse en B-klasse,4
wordt vaak beschilderd met grafitti,6
wordt vaak gestolen,8
wordt vaak overvallen,4
wordt vooral gebruikt bij mooi weer,10
wordt vooral gebruikt door jongens,7
wordt voortgetrokken door honden,5
wordt voortgetrokken door paarden,39
wordt voortgetrokken door rendieren,4
zie je vooral aan de kust,21
zit meestal overvol,5
zweeft,6
