exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
dadels,1.0,8.0,8.0,1.0,1.0,5.0,1.0,12.0,9.0,1.0,20.0,1.0,6.0,1.0,6.0,1.0,4.0,1.0,4.0,5.0,8.0,3.0,1.0,18.0,5.0,9.0,2.0,1.0,1.0,15.0
druif,2.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,16.0,1.0,20.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,8.0,1.0,5.0,1.0,1.0
framboos,10.0,15.0,4.0,1.0,8.0,5.0,4.0,9.0,4.0,5.0,6.0,1.0,20.0,15.0,5.0,9.0,2.0,7.0,13.0,5.0,3.0,5.0,1.0,8.0,1.0,9.0,1.0,9.0,1.0,8.0
kers,1.0,19.0,12.0,1.0,1.0,4.0,9.0,14.0,2.0,1.0,1.0,4.0,15.0,20.0,1.0,5.0,1.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,7.0
kiwi,1.0,14.0,4.0,1.0,5.0,5.0,12.0,15.0,5.0,1.0,6.0,1.0,5.0,1.0,20.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0
kokosnoot,2.0,5.0,8.0,12.0,1.0,8.0,4.0,1.0,5.0,1.0,1.0,5.0,9.0,5.0,5.0,20.0,1.0,9.0,4.0,18.0,1.0,5.0,1.0,6.0,8.0,15.0,4.0,8.0,1.0,1.0
limoen,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,5.0,1.0,11.0,6.0,1.0
lychee,2.0,1.0,12.0,1.0,1.0,2.0,1.0,1.0,19.0,1.0,1.0,1.0,7.0,7.0,1.0,9.0,1.0,20.0,14.0,4.0,1.0,12.0,1.0,8.0,1.0,7.0,1.0,4.0,2.0,16.0
mango,1.0,4.0,5.0,2.0,5.0,4.0,2.0,6.0,1.0,4.0,4.0,1.0,13.0,7.0,1.0,4.0,1.0,14.0,20.0,9.0,3.0,5.0,7.0,1.0,14.0,9.0,1.0,8.0,1.0,18.0
meloen,1.0,6.0,11.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,4.0,1.0,18.0,1.0,4.0,9.0,20.0,6.0,4.0,8.0,18.0,14.0,19.0,7.0,16.0,1.0,9.0
nectarine,1.0,1.0,9.0,4.0,7.0,4.0,1.0,5.0,6.0,1.0,8.0,1.0,3.0,1.0,2.0,1.0,10.0,1.0,3.0,6.0,20.0,4.0,1.0,1.0,1.0,10.0,1.0,8.0,1.0,9.0
papaya,1.0,3.0,15.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,5.0,1.0,12.0,5.0,4.0,4.0,20.0,1.0,9.0,1.0,1.0,7.0,1.0,5.0,8.0
passievrucht,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
peer,4.0,7.0,19.0,8.0,1.0,1.0,1.0,10.0,1.0,4.0,18.0,4.0,8.0,1.0,4.0,6.0,1.0,8.0,1.0,18.0,1.0,9.0,1.0,20.0,11.0,9.0,4.0,1.0,1.0,19.0
perzik,1.0,2.0,12.0,1.0,2.0,1.0,1.0,2.0,10.0,4.0,5.0,1.0,1.0,5.0,4.0,8.0,1.0,1.0,14.0,14.0,1.0,1.0,2.0,11.0,20.0,14.0,3.0,1.0,4.0,1.0
pompelmoes,1.0,13.0,4.0,9.0,5.0,2.0,7.0,5.0,8.0,4.0,9.0,8.0,9.0,4.0,4.0,15.0,5.0,7.0,9.0,19.0,10.0,1.0,1.0,9.0,14.0,20.0,14.0,8.0,1.0,7.0
pompoen,1.0,4.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,4.0,3.0,14.0,20.0,5.0,1.0,4.0
pruim,4.0,4.0,18.0,8.0,7.0,9.0,2.0,1.0,1.0,1.0,1.0,5.0,9.0,5.0,2.0,8.0,11.0,4.0,8.0,16.0,8.0,1.0,1.0,1.0,1.0,8.0,5.0,20.0,5.0,9.0
sinaasappel,2.0,1.0,8.0,1.0,1.0,3.0,1.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,20.0,15.0
vijg,4.0,10.0,6.0,9.0,12.0,5.0,1.0,1.0,16.0,4.0,15.0,1.0,8.0,7.0,1.0,1.0,1.0,16.0,18.0,9.0,9.0,8.0,4.0,19.0,1.0,7.0,4.0,9.0,15.0,20.0
