exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
dadels,,4.0,9.0,2.0,7.0,1.0,5.0,2.0,6.0,1.0,20.0,2.0,3.0,2.0,2.0,6.0,1.0,10.0,1.0,4.0,3.0,4.0,1.0,10.0,3.0,1.0,3.0,5.0,10.0,17.0
druif,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,17.0,2.0,20.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
framboos,,4.0,5.0,1.0,3.0,1.0,4.0,4.0,3.0,6.0,3.0,3.0,20.0,2.0,4.0,2.0,1.0,2.0,6.0,2.0,5.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0
kers,,15.0,2.0,1.0,1.0,1.0,9.0,9.0,1.0,3.0,2.0,2.0,2.0,20.0,5.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0
kiwi,,8.0,3.0,2.0,2.0,2.0,7.0,14.0,4.0,1.0,2.0,2.0,4.0,5.0,20.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0
kokosnoot,,2.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,6.0,1.0,2.0,2.0,3.0,20.0,1.0,5.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,5.0
limoen,,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0
lychee,,3.0,8.0,1.0,6.0,1.0,1.0,1.0,19.0,1.0,10.0,2.0,2.0,1.0,4.0,5.0,4.0,20.0,4.0,7.0,11.0,4.0,6.0,10.0,4.0,4.0,2.0,3.0,16.0,14.0
mango,,4.0,2.0,5.0,2.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,4.0,20.0,5.0,1.0,2.0,4.0,3.0,7.0,5.0,2.0,1.0,2.0,1.0
meloen,,4.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,7.0,5.0,20.0,8.0,2.0,7.0,10.0,2.0,4.0,4.0,5.0,6.0,5.0
nectarine,,1.0,1.0,1.0,6.0,1.0,4.0,2.0,5.0,1.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,11.0,1.0,8.0,20.0,2.0,7.0,5.0,2.0,2.0,1.0,6.0,12.0,5.0
papaya,,4.0,10.0,1.0,7.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,20.0,2.0,7.0,4.0,2.0,2.0,16.0,4.0,6.0
passievrucht,,4.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,4.0,7.0,7.0,2.0,20.0,1.0,1.0,2.0,1.0,6.0,10.0,4.0
peer,,4.0,18.0,1.0,6.0,2.0,4.0,1.0,10.0,1.0,10.0,1.0,4.0,2.0,2.0,4.0,3.0,10.0,3.0,10.0,5.0,7.0,1.0,20.0,3.0,4.0,3.0,18.0,8.0,16.0
perzik,,3.0,2.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,2.0,2.0,4.0,1.0,3.0,20.0,8.0,5.0,5.0,4.0,1.0
pompelmoes,,1.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,4.0,8.0,20.0,3.0,2.0,2.0,4.0
pompoen,,1.0,2.0,1.0,10.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,5.0,3.0,20.0,4.0,2.0,1.0
pruim,,4.0,16.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,5.0,6.0,16.0,6.0,18.0,5.0,2.0,4.0,20.0,4.0,4.0
sinaasappel,,2.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,10.0,2.0,2.0,1.0,2.0,4.0,3.0,16.0,2.0,6.0,12.0,4.0,10.0,8.0,4.0,2.0,2.0,4.0,20.0,15.0
vijg,,4.0,6.0,1.0,8.0,1.0,2.0,4.0,7.0,1.0,17.0,1.0,4.0,2.0,3.0,5.0,3.0,14.0,1.0,5.0,5.0,6.0,4.0,16.0,1.0,4.0,1.0,4.0,15.0,20.0
