exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
dadels,14.0,16.0,13.0,12.0,14.0,13.0,16.0,16.0,14.0,11.0,20.0,14.0,12.0,12.0,14.0,12.0,10.0,15.0,15.0,16.0,13.0,17.0,15.0,13.0,14.0,14.0,15.0,17.0,14.0,17.0
druif,16.0,17.0,15.0,11.0,14.0,15.0,18.0,14.0,10.0,16.0,14.0,20.0,15.0,18.0,17.0,13.0,14.0,17.0,18.0,16.0,12.0,10.0,15.0,8.0,12.0,15.0,14.0,17.0,15.0,17.0
framboos,13.0,16.0,12.0,14.0,13.0,11.0,17.0,19.0,15.0,16.0,12.0,15.0,20.0,15.0,10.0,11.0,13.0,17.0,15.0,12.0,15.0,16.0,15.0,12.0,15.0,8.0,15.0,15.0,12.0,15.0
kers,18.0,17.0,16.0,14.0,14.0,14.0,17.0,14.0,13.0,8.0,12.0,18.0,15.0,20.0,9.0,10.0,15.0,10.0,15.0,15.0,12.0,15.0,15.0,8.0,12.0,14.0,14.0,14.0,8.0,15.0
kiwi,15.0,14.0,15.0,13.0,15.0,11.0,16.0,14.0,9.0,14.0,14.0,17.0,10.0,9.0,20.0,14.0,16.0,15.0,17.0,15.0,15.0,16.0,17.0,16.0,13.0,12.0,14.0,15.0,13.0,15.0
kokosnoot,12.0,4.0,15.0,11.0,13.0,9.0,10.0,12.0,13.0,14.0,12.0,13.0,11.0,10.0,14.0,20.0,14.0,11.0,15.0,9.0,15.0,18.0,16.0,4.0,13.0,10.0,14.0,12.0,14.0,13.0
limoen,14.0,16.0,12.0,10.0,16.0,16.0,10.0,15.0,18.0,16.0,10.0,14.0,13.0,15.0,16.0,14.0,20.0,17.0,18.0,15.0,16.0,16.0,15.0,12.0,14.0,15.0,12.0,16.0,16.0,15.0
lychee,16.0,14.0,16.0,16.0,9.0,8.0,15.0,16.0,7.0,15.0,15.0,17.0,17.0,10.0,15.0,11.0,17.0,20.0,8.0,15.0,16.0,17.0,17.0,9.0,15.0,14.0,16.0,15.0,14.0,14.0
mango,12.0,14.0,14.0,15.0,15.0,15.0,14.0,9.0,15.0,15.0,15.0,18.0,15.0,15.0,17.0,15.0,18.0,8.0,20.0,17.0,17.0,18.0,16.0,17.0,16.0,15.0,13.0,16.0,17.0,17.0
meloen,14.0,15.0,14.0,14.0,17.0,16.0,15.0,12.0,17.0,15.0,16.0,16.0,12.0,15.0,15.0,9.0,15.0,15.0,17.0,20.0,13.0,18.0,16.0,12.0,17.0,16.0,15.0,14.0,15.0,16.0
nectarine,10.0,16.0,15.0,14.0,12.0,11.0,17.0,12.0,16.0,16.0,13.0,12.0,15.0,12.0,15.0,15.0,16.0,16.0,17.0,13.0,20.0,14.0,16.0,16.0,18.0,16.0,9.0,17.0,17.0,16.0
papaya,16.0,15.0,15.0,15.0,9.0,11.0,11.0,11.0,14.0,15.0,17.0,10.0,16.0,15.0,16.0,18.0,16.0,17.0,18.0,18.0,14.0,20.0,17.0,12.0,15.0,16.0,17.0,18.0,16.0,16.0
passievrucht,10.0,14.0,18.0,15.0,15.0,16.0,15.0,15.0,12.0,15.0,15.0,15.0,15.0,15.0,17.0,16.0,15.0,17.0,16.0,16.0,16.0,17.0,20.0,13.0,14.0,15.0,15.0,10.0,11.0,7.0
peer,8.0,8.0,14.0,11.0,18.0,15.0,11.0,12.0,8.0,6.0,13.0,8.0,12.0,8.0,16.0,4.0,12.0,9.0,17.0,12.0,16.0,12.0,13.0,20.0,15.0,11.0,5.0,17.0,14.0,11.0
perzik,16.0,16.0,18.0,15.0,16.0,14.0,11.0,14.0,13.0,16.0,14.0,12.0,15.0,12.0,13.0,13.0,14.0,15.0,16.0,17.0,18.0,15.0,14.0,15.0,20.0,16.0,12.0,16.0,16.0,8.0
pompelmoes,10.0,12.0,15.0,15.0,15.0,15.0,15.0,12.0,15.0,17.0,14.0,15.0,8.0,14.0,12.0,10.0,15.0,14.0,15.0,16.0,16.0,16.0,15.0,11.0,16.0,20.0,18.0,8.0,19.0,10.0
pompoen,11.0,8.0,16.0,14.0,13.0,11.0,15.0,16.0,16.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,12.0,16.0,13.0,15.0,9.0,17.0,15.0,5.0,12.0,18.0,20.0,15.0,10.0,13.0
pruim,16.0,15.0,17.0,12.0,14.0,10.0,16.0,12.0,14.0,17.0,17.0,17.0,15.0,14.0,15.0,12.0,16.0,15.0,16.0,14.0,17.0,18.0,10.0,17.0,16.0,8.0,15.0,20.0,10.0,17.0
sinaasappel,12.0,15.0,16.0,17.0,18.0,14.0,11.0,14.0,18.0,18.0,14.0,15.0,12.0,8.0,13.0,14.0,16.0,14.0,17.0,15.0,17.0,16.0,11.0,14.0,16.0,19.0,10.0,10.0,20.0,15.0
vijg,15.0,16.0,11.0,12.0,15.0,15.0,15.0,12.0,11.0,11.0,17.0,17.0,15.0,15.0,15.0,13.0,15.0,14.0,17.0,16.0,16.0,16.0,7.0,11.0,8.0,10.0,13.0,17.0,15.0,20.0
