exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
moersleutel,3.0,8.0,3.0,3.0,5.0,15.0,2.0,4.0,2.0,3.0,11.0,1.0,6.0,20.0,2.0,9.0,3.0,6.0,3.0,7.0,4.0,7.0,2.0,1.0,12.0,1.0,2.0,4.0,5.0,4.0
oliespuit,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,20.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
plamuurmes,2.0,12.0,3.0,4.0,4.0,7.0,4.0,5.0,3.0,4.0,7.0,2.0,15.0,9.0,2.0,20.0,2.0,10.0,5.0,7.0,5.0,5.0,6.0,1.0,5.0,1.0,6.0,12.0,5.0,8.0
ploeg,2.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,3.0,8.0,6.0,3.0,1.0,2.0,20.0,3.0,6.0,5.0,4.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0
schaaf,6.0,6.0,3.0,3.0,7.0,6.0,2.0,3.0,4.0,4.0,5.0,2.0,8.0,6.0,1.0,10.0,3.0,20.0,2.0,4.0,12.0,3.0,5.0,1.0,6.0,2.0,4.0,15.0,5.0,5.0
schop,1.0,5.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,6.0,4.0,2.0,4.0,3.0,2.0,5.0,6.0,2.0,20.0,3.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,7.0,2.0,3.0
schroevendraaier,2.0,6.0,6.0,13.0,9.0,7.0,3.0,5.0,2.0,7.0,4.0,3.0,6.0,7.0,3.0,7.0,5.0,4.0,3.0,20.0,5.0,5.0,6.0,1.0,7.0,2.0,2.0,5.0,2.0,4.0
slijpschijf,2.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,8.0,4.0,1.0,5.0,4.0,12.0,5.0,5.0,20.0,2.0,3.0,1.0,2.0,2.0,1.0,6.0,4.0,12.0
spijker,3.0,12.0,3.0,5.0,4.0,10.0,1.0,4.0,3.0,3.0,7.0,2.0,6.0,7.0,1.0,5.0,5.0,3.0,5.0,5.0,2.0,20.0,9.0,3.0,3.0,1.0,4.0,10.0,6.0,4.0
staalborstel,4.0,12.0,3.0,6.0,5.0,10.0,5.0,5.0,1.0,5.0,11.0,2.0,7.0,2.0,2.0,6.0,6.0,5.0,4.0,6.0,3.0,9.0,20.0,1.0,9.0,1.0,6.0,7.0,3.0,5.0
stofzuiger,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
tang,5.0,7.0,4.0,4.0,6.0,17.0,2.0,4.0,10.0,4.0,12.0,2.0,4.0,12.0,2.0,5.0,1.0,6.0,2.0,7.0,2.0,3.0,9.0,1.0,20.0,2.0,5.0,4.0,5.0,3.0
touw,1.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,2.0
verfborstel,3.0,12.0,5.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,6.0,2.0,4.0,1.0,2.0,1.0,4.0,6.0,1.0,5.0,1.0,20.0,4.0,5.0,3.0
vijl,3.0,13.0,4.0,5.0,6.0,6.0,3.0,4.0,3.0,4.0,4.0,2.0,14.0,4.0,2.0,12.0,3.0,15.0,7.0,5.0,6.0,10.0,7.0,1.0,4.0,1.0,4.0,20.0,6.0,6.0
waterpas,4.0,5.0,2.0,3.0,5.0,5.0,1.0,4.0,3.0,2.0,4.0,1.0,5.0,5.0,1.0,5.0,3.0,5.0,2.0,2.0,4.0,6.0,3.0,1.0,5.0,1.0,5.0,6.0,20.0,5.0
zaag,2.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,2.0,4.0,7.0,2.0,9.0,4.0,1.0,8.0,4.0,5.0,3.0,4.0,12.0,4.0,5.0,1.0,3.0,2.0,3.0,6.0,5.0,20.0
