exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
kangoeroe,8.0,4.0,3.0,9.0,4.0,2.0,4.0,5.0,7.0,10.0,3.0,2.0,20.0,7.0,3.0,8.0,5.0,5.0,2.0,9.0,10.0,6.0,9.0,4.0,8.0,2.0,9.0,3.0,5.0,4.0
kat,2.0,9.0,2.0,2.0,5.0,3.0,2.0,2.0,5.0,2.0,12.0,2.0,7.0,20.0,3.0,8.0,2.0,11.0,5.0,3.0,3.0,9.0,2.0,4.0,12.0,4.0,2.0,8.0,9.0,4.0
koe,4.0,4.0,9.0,6.0,4.0,3.0,9.0,9.0,2.0,7.0,3.0,3.0,3.0,3.0,20.0,3.0,8.0,4.0,8.0,7.0,4.0,9.0,11.0,6.0,4.0,10.0,2.0,6.0,5.0,7.0
konijn,5.0,3.0,3.0,2.0,6.0,5.0,4.0,6.0,14.0,4.0,10.0,2.0,8.0,8.0,3.0,20.0,5.0,4.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,6.0,4.0,3.0,3.0
lama,5.0,4.0,10.0,16.0,4.0,3.0,14.0,12.0,4.0,15.0,6.0,5.0,5.0,2.0,8.0,5.0,20.0,6.0,3.0,7.0,13.0,9.0,14.0,16.0,6.0,2.0,5.0,6.0,5.0,12.0
leeuw,3.0,3.0,11.0,6.0,5.0,2.0,5.0,2.0,6.0,2.0,6.0,6.0,5.0,11.0,4.0,4.0,6.0,20.0,4.0,8.0,7.0,7.0,9.0,4.0,16.0,5.0,3.0,7.0,10.0,9.0
muis,4.0,2.0,2.0,2.0,5.0,9.0,2.0,2.0,18.0,2.0,3.0,1.0,2.0,5.0,8.0,5.0,3.0,4.0,20.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0
neushoorn,2.0,3.0,9.0,9.0,2.0,7.0,15.0,6.0,3.0,7.0,2.0,4.0,9.0,3.0,7.0,2.0,7.0,8.0,1.0,20.0,13.0,13.0,6.0,3.0,6.0,2.0,2.0,5.0,2.0,12.0
nijlpaard,2.0,6.0,13.0,12.0,2.0,3.0,12.0,15.0,5.0,10.0,7.0,6.0,10.0,3.0,4.0,3.0,13.0,7.0,3.0,13.0,20.0,10.0,12.0,7.0,9.0,10.0,3.0,7.0,7.0,13.0
olifant,3.0,3.0,11.0,9.0,2.0,10.0,2.0,13.0,3.0,3.0,4.0,8.0,6.0,9.0,9.0,2.0,9.0,7.0,2.0,13.0,10.0,20.0,7.0,7.0,3.0,5.0,3.0,6.0,8.0,11.0
paard,7.0,4.0,7.0,10.0,3.0,3.0,18.0,15.0,3.0,14.0,5.0,4.0,9.0,2.0,11.0,5.0,14.0,9.0,4.0,6.0,12.0,7.0,20.0,4.0,5.0,5.0,3.0,6.0,6.0,14.0
schaap,7.0,5.0,5.0,10.0,3.0,3.0,8.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,6.0,5.0,16.0,4.0,3.0,3.0,7.0,7.0,4.0,20.0,3.0,12.0,4.0,5.0,6.0,5.0
tijger,3.0,4.0,4.0,6.0,3.0,4.0,4.0,5.0,4.0,7.0,8.0,10.0,8.0,12.0,4.0,5.0,6.0,16.0,2.0,6.0,9.0,3.0,5.0,3.0,20.0,4.0,9.0,8.0,12.0,5.0
varken,7.0,9.0,5.0,8.0,3.0,5.0,9.0,11.0,2.0,6.0,5.0,7.0,2.0,4.0,10.0,3.0,2.0,5.0,3.0,2.0,10.0,5.0,5.0,12.0,4.0,20.0,3.0,5.0,6.0,2.0
vleermuis,8.0,3.0,4.0,5.0,7.0,3.0,2.0,5.0,8.0,6.0,5.0,6.0,9.0,2.0,2.0,6.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,9.0,3.0,20.0,3.0,3.0,5.0
vos,5.0,8.0,2.0,3.0,5.0,4.0,5.0,8.0,3.0,5.0,13.0,8.0,3.0,8.0,6.0,4.0,6.0,7.0,4.0,5.0,7.0,6.0,6.0,5.0,8.0,5.0,3.0,20.0,18.0,5.0
wolf,4.0,3.0,4.0,9.0,4.0,3.0,5.0,3.0,2.0,7.0,14.0,9.0,5.0,9.0,5.0,3.0,5.0,10.0,3.0,2.0,7.0,8.0,6.0,6.0,12.0,6.0,3.0,18.0,20.0,6.0
zebra,7.0,4.0,13.0,12.0,3.0,4.0,6.0,13.0,3.0,14.0,5.0,6.0,4.0,4.0,7.0,3.0,12.0,9.0,2.0,12.0,13.0,11.0,14.0,5.0,5.0,2.0,5.0,5.0,6.0,20.0
