feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
kan een dier zijn,-3,-3,-3,-3,-3,-3,-3,-2,-3,0,-3,-3,-2.6666666666666665,0.8876253645985945
kan floschkes hebben,-3,0,-2,-3,-3,0,-2,-2,1,0,-3,-1,-1.5,1.4459976109624424
kan gedragen worden,2,3,2,2,2,2,3,1,2,3,3,-2,1.9166666666666667,1.378954368902449
kan gedragen worden als sierraad,-3,-1,-1,-3,-2,1,3,0,-2,0,-2,1,-0.75,1.815338686155987
kan in de wasmachine,-2,3,2,-3,2,2,3,1,1,1,2,1,1.0833333333333333,1.831955405041456
kan je achterstevoren dragen,-3,2,-1,-3,-2,2,3,1,-3,-1,-3,-2,-0.8333333333333334,2.2495790852081776
kan je kopen in een sportwinkel,-3,1,-1,1,0,0,1,2,0,1,1,1,0.3333333333333333,1.3026778945578592
kan je zelf breien,-3,2,0,1,1,1,3,0,2,1,1,1,0.8333333333333334,1.4668044012461756
kan je zelf maken,-2,0,1,1,1,0,-1,0,1,1,1,1,0.3333333333333333,0.9847319278346619
kan onder andere kledingstukken gedragen worden,-3,0,-1,1,-1,2,3,-1,2,1,2,-2,0.25,1.864744681524183
kan statussymbool zijn,0,-2,0,1,1,0,-2,0,2,1,1,1,0.25,1.2154310870109943
kan uit verschillende materialen bestaan,1,-3,0,1,1,0,-2,2,2,1,2,1,0.5,1.5666989036012806
kan van verschillende stoffen gemaakt zijn,1,1,1,1,2,0,2,1,2,1,3,1,1.3333333333333333,0.778498944161523
kan verschillende lengtes hebben,-3,-3,0,1,0,0,-3,2,0,1,2,1,-0.16666666666666666,1.8504708655481243
kan verschillende motiefjes hebben,-1,-3,0,1,1,0,-3,1,2,1,1,1,0.08333333333333333,1.621353717973928
kan verschillende prints hebben,1,-3,1,1,1,0,-3,2,3,1,1,1,0.5,1.7837651700316894
komen tot aan de knie,-3,-3,-2,-3,-2,1,-2,-1,-2,0,-3,-3,-1.9166666666666667,1.3113721705515067
koop je in de winkel,-3,-3,0,1,2,0,1,1,1,1,2,1,0.3333333333333333,1.6696942198734435
koop je in een lingeriewinkel,-3,-2,0,-3,-1,2,3,0,-1,0,-3,1,-0.5833333333333334,1.97522534195852
koop je in een schoenwinkel,-3,-2,0,-3,-2,2,3,-1,-1,0,-3,1,-0.75,2.0056737702645644
kost geld,-1,-3,0,-3,2,0,1,2,2,1,1,1,0.25,1.764549903980152
kost veel geld,-2,-3,0,-3,1,0,0,1,1,-1,-1,0,-0.5833333333333334,1.4433756729740645
krimpt in de was,-3,3,2,-3,0,1,3,-1,1,-1,-2,0,0.0,2.088931871468374
laat een blote buik zien,-3,-2,0,-3,-2,1,0,-1,1,0,-3,-3,-1.25,1.6025547785276542
leg je op de vloer,-3,-3,-2,-3,-3,-3,-3,-2,-1,-2,-3,-3,-2.5833333333333335,0.6685579234215214
leg je op tafel,-3,-3,-2,-3,-3,-3,-3,0,-3,-2,-3,-3,-2.5833333333333335,0.90033663737852
ligt in de kast,-3,1,1,1,1,0,3,2,2,1,2,1,1.0,1.4770978917519928
mag je niet dragen in de kerk,-3,-3,-3,-3,-3,1,-3,-2,-3,0,-3,-3,-2.3333333333333335,1.3706888336846839
moet dagelijks vervangen worden,-3,-2,0,-3,-1,0,-3,-1,-1,1,1,-3,-1.25,1.5447859516333116
moet je wassen,2,2,2,1,1,0,2,2,2,1,2,1,1.5,0.674199862463242
moet je wassen op dertig graden,-3,3,2,0,-1,1,3,-1,0,0,-3,1,0.16666666666666666,1.992409839791244
ruikt naar waspoeder,-3,3,2,0,1,0,3,0,2,0,-1,1,0.6666666666666666,1.7232808737106582
stinkt,-3,-3,-3,0,-2,0,-3,-1,-3,-3,-1,-3,-2.0833333333333335,1.2401124093721454
vervang je elke dag,-3,-2,1,0,-2,0,-3,0,-3,1,2,-3,-1.0,1.8586407545691703
vinden mannen sexy,-3,-2,0,-1,-2,0,1,-1,0,0,-2,-3,-1.0833333333333333,1.3113721705515067
waait weg met de wind,-3,-3,-2,-3,-3,-2,-3,-1,-3,0,-3,-3,-2.4166666666666665,0.996204919895622
werd vooral vroeger gedragen,-3,-3,-2,0,-3,1,2,-2,-3,-1,-3,-3,-1.6666666666666667,1.775250729197189
wordt als cadeau gegeven,-3,-3,0,0,-1,0,-2,0,1,1,-2,-3,-1.0,1.5374122295716148
wordt als vrijetijdskleding gedragen,-3,-1,0,0,-1,2,3,-1,-1,0,2,-3,-0.25,1.864744681524183
wordt door jonge mensen gedragen,-3,-3,0,0,0,2,3,-1,-1,1,2,-3,-0.25,2.050498830661811
wordt door jongens gedragen,-3,2,0,0,0,2,3,-1,-1,1,2,-3,0.16666666666666666,1.9462473604038073
wordt door kinderen gedragen,-3,2,0,0,0,2,3,-1,-1,1,2,-3,0.16666666666666666,1.9462473604038073
