exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
pauw,7.0,9.0,7.0,12.0,7.0,10.0,4.0,7.0,7.0,15.0,5.0,11.0,7.0,9.0,12.0,7.0,10.0,9.0,10.0,20.0,13.0,7.0,15.0,8.0,12.0,8.0,11.0,9.0,12.0,12.0
pelikaan,11.0,9.0,12.0,7.0,13.0,14.0,7.0,13.0,11.0,11.0,12.0,8.0,13.0,12.0,11.0,10.0,5.0,13.0,7.0,13.0,20.0,10.0,15.0,10.0,8.0,10.0,11.0,12.0,14.0,11.0
pinguïn,7.0,11.0,8.0,2.0,6.0,9.0,6.0,7.0,8.0,4.0,3.0,8.0,11.0,8.0,5.0,9.0,11.0,9.0,6.0,7.0,10.0,20.0,8.0,6.0,10.0,4.0,10.0,7.0,9.0,11.0
reiger,15.0,11.0,12.0,11.0,14.0,18.0,9.0,4.0,5.0,7.0,4.0,14.0,9.0,14.0,11.0,8.0,18.0,12.0,8.0,15.0,15.0,8.0,20.0,6.0,11.0,11.0,7.0,18.0,11.0,15.0
roodborstje,9.0,10.0,9.0,5.0,11.0,11.0,14.0,7.0,13.0,10.0,16.0,7.0,15.0,11.0,14.0,13.0,4.0,11.0,12.0,8.0,10.0,6.0,6.0,20.0,8.0,9.0,10.0,9.0,10.0,8.0
specht,12.0,12.0,5.0,15.0,12.0,13.0,10.0,6.0,12.0,5.0,5.0,15.0,14.0,13.0,12.0,8.0,10.0,12.0,12.0,12.0,8.0,10.0,11.0,8.0,20.0,3.0,11.0,9.0,10.0,11.0
struisvogel,11.0,14.0,11.0,14.0,12.0,10.0,9.0,10.0,10.0,5.0,10.0,15.0,5.0,12.0,6.0,8.0,10.0,10.0,7.0,8.0,10.0,4.0,11.0,9.0,3.0,20.0,9.0,11.0,10.0,10.0
uil,15.0,16.0,10.0,11.0,12.0,13.0,8.0,11.0,11.0,4.0,10.0,11.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,11.0,10.0,7.0,10.0,11.0,9.0,20.0,11.0,11.0,12.0
valk,18.0,15.0,9.0,9.0,15.0,16.0,10.0,6.0,8.0,11.0,13.0,14.0,12.0,8.0,11.0,10.0,10.0,6.0,10.0,9.0,12.0,7.0,18.0,9.0,9.0,11.0,11.0,20.0,14.0,12.0
zwaan,11.0,14.0,17.0,11.0,15.0,11.0,5.0,12.0,6.0,9.0,5.0,8.0,12.0,14.0,11.0,10.0,16.0,8.0,10.0,12.0,14.0,9.0,11.0,10.0,10.0,10.0,11.0,14.0,20.0,15.0
zwaluw,10.0,7.0,15.0,11.0,12.0,10.0,16.0,15.0,10.0,6.0,10.0,11.0,9.0,15.0,7.0,6.0,10.0,12.0,8.0,12.0,11.0,11.0,15.0,8.0,11.0,10.0,12.0,12.0,15.0,20.0
