exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
koekoek,10.0,10.0,9.0,12.0,11.0,12.0,15.0,9.0,11.0,8.0,20.0,13.0,12.0,7.0,7.0,12.0,8.0,12.0,7.0,6.0,6.0,4.0,7.0,12.0,15.0,9.0,16.0,14.0,7.0,4.0
kraai,11.0,6.0,7.0,18.0,7.0,12.0,7.0,7.0,5.0,6.0,13.0,20.0,15.0,12.0,15.0,14.0,4.0,8.0,7.0,8.0,9.0,5.0,13.0,6.0,15.0,8.0,11.0,8.0,5.0,11.0
mees,7.0,10.0,6.0,16.0,7.0,4.0,7.0,9.0,13.0,10.0,12.0,15.0,20.0,7.0,18.0,16.0,6.0,5.0,13.0,4.0,4.0,4.0,8.0,16.0,14.0,8.0,11.0,6.0,9.0,6.0
meeuw,5.0,6.0,5.0,14.0,7.0,4.0,7.0,8.0,5.0,7.0,7.0,12.0,7.0,20.0,7.0,7.0,9.0,6.0,6.0,8.0,5.0,11.0,11.0,10.0,13.0,5.0,4.0,10.0,6.0,17.0
merel,6.0,14.0,7.0,16.0,7.0,5.0,6.0,6.0,5.0,6.0,7.0,15.0,18.0,7.0,20.0,17.0,11.0,14.0,12.0,7.0,7.0,5.0,6.0,16.0,8.0,6.0,9.0,12.0,8.0,6.0
mus,6.0,14.0,8.0,15.0,7.0,3.0,6.0,7.0,14.0,7.0,12.0,14.0,16.0,7.0,17.0,20.0,7.0,11.0,14.0,6.0,6.0,4.0,4.0,16.0,7.0,5.0,12.0,12.0,4.0,7.0
ooievaar,9.0,12.0,6.0,7.0,7.0,12.0,6.0,9.0,5.0,4.0,8.0,4.0,6.0,9.0,11.0,7.0,20.0,13.0,4.0,6.0,15.0,10.0,17.0,12.0,8.0,13.0,13.0,9.0,14.0,15.0
papegaai,6.0,13.0,12.0,8.0,6.0,12.0,14.0,10.0,16.0,15.0,12.0,8.0,5.0,6.0,14.0,11.0,13.0,20.0,16.0,14.0,11.0,4.0,10.0,11.0,14.0,12.0,14.0,7.0,8.0,10.0
parkiet,6.0,12.0,7.0,10.0,9.0,5.0,14.0,7.0,19.0,4.0,7.0,7.0,13.0,6.0,12.0,14.0,4.0,16.0,20.0,6.0,5.0,4.0,5.0,16.0,5.0,4.0,7.0,11.0,8.0,6.0
pauw,8.0,14.0,14.0,6.0,16.0,11.0,17.0,16.0,6.0,15.0,6.0,8.0,4.0,8.0,7.0,6.0,6.0,14.0,6.0,20.0,7.0,2.0,9.0,13.0,7.0,15.0,12.0,6.0,14.0,9.0
pelikaan,11.0,7.0,13.0,6.0,7.0,14.0,7.0,6.0,5.0,7.0,6.0,9.0,4.0,5.0,7.0,6.0,15.0,11.0,5.0,7.0,20.0,5.0,8.0,3.0,4.0,13.0,4.0,6.0,14.0,13.0
pinguïn,3.0,8.0,8.0,4.0,2.0,5.0,6.0,13.0,4.0,11.0,4.0,5.0,4.0,11.0,5.0,4.0,10.0,4.0,4.0,2.0,5.0,20.0,9.0,13.0,3.0,12.0,2.0,4.0,4.0,7.0
reiger,13.0,10.0,9.0,6.0,7.0,17.0,6.0,9.0,6.0,9.0,7.0,13.0,8.0,11.0,6.0,4.0,17.0,10.0,5.0,9.0,8.0,9.0,20.0,5.0,6.0,11.0,14.0,9.0,11.0,15.0
roodborstje,6.0,12.0,9.0,13.0,5.0,8.0,6.0,14.0,14.0,13.0,12.0,6.0,16.0,10.0,16.0,16.0,12.0,11.0,16.0,13.0,3.0,13.0,5.0,20.0,12.0,6.0,13.0,12.0,8.0,6.0
specht,11.0,7.0,7.0,13.0,9.0,10.0,11.0,9.0,11.0,8.0,15.0,15.0,14.0,13.0,8.0,7.0,8.0,14.0,5.0,7.0,4.0,3.0,6.0,12.0,20.0,10.0,16.0,14.0,5.0,12.0
struisvogel,6.0,6.0,7.0,7.0,16.0,12.0,16.0,15.0,3.0,14.0,9.0,8.0,8.0,5.0,6.0,5.0,13.0,12.0,4.0,15.0,13.0,12.0,11.0,6.0,10.0,20.0,12.0,12.0,14.0,12.0
uil,14.0,12.0,14.0,10.0,14.0,14.0,12.0,12.0,7.0,14.0,16.0,11.0,11.0,4.0,9.0,12.0,13.0,14.0,7.0,12.0,4.0,2.0,14.0,13.0,16.0,12.0,20.0,15.0,6.0,11.0
valk,13.0,5.0,6.0,5.0,5.0,12.0,8.0,6.0,6.0,5.0,14.0,8.0,6.0,10.0,12.0,12.0,9.0,7.0,11.0,6.0,6.0,4.0,9.0,12.0,14.0,12.0,15.0,20.0,8.0,8.0
zwaan,8.0,5.0,17.0,6.0,13.0,8.0,13.0,8.0,4.0,14.0,7.0,5.0,9.0,6.0,8.0,4.0,14.0,8.0,8.0,14.0,14.0,4.0,11.0,8.0,5.0,14.0,6.0,8.0,20.0,8.0
zwaluw,9.0,14.0,6.0,7.0,8.0,11.0,7.0,5.0,5.0,8.0,4.0,11.0,6.0,17.0,6.0,7.0,15.0,10.0,6.0,9.0,13.0,7.0,15.0,6.0,12.0,12.0,11.0,8.0,8.0,20.0
