exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
parkiet,3.0,6.0,9.0,9.0,5.0,5.0,3.0,2.0,20.0,5.0,9.0,4.0,5.0,6.0,14.0,6.0,3.0,15.0,20.0,5.0,3.0,3.0,3.0,15.0,6.0,1.0,3.0,5.0,4.0,3.0
pauw,3.0,6.0,4.0,2.0,8.0,2.0,17.0,14.0,12.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,16.0,5.0,20.0,5.0,2.0,4.0,6.0,2.0,3.0,1.0,6.0,14.0,3.0
pelikaan,2.0,3.0,4.0,1.0,1.0,3.0,2.0,12.0,3.0,9.0,3.0,3.0,6.0,11.0,2.0,2.0,15.0,3.0,3.0,5.0,20.0,6.0,18.0,2.0,5.0,1.0,3.0,1.0,16.0,5.0
pinguïn,1.0,1.0,14.0,10.0,2.0,2.0,1.0,4.0,2.0,4.0,5.0,14.0,3.0,13.0,7.0,3.0,3.0,3.0,3.0,2.0,6.0,20.0,1.0,4.0,3.0,1.0,7.0,1.0,6.0,3.0
reiger,15.0,4.0,5.0,15.0,3.0,15.0,3.0,3.0,3.0,5.0,3.0,14.0,5.0,9.0,8.0,8.0,8.0,3.0,3.0,4.0,18.0,1.0,20.0,2.0,14.0,11.0,1.0,14.0,4.0,9.0
roodborstje,1.0,12.0,8.0,1.0,4.0,2.0,3.0,2.0,15.0,5.0,9.0,1.0,11.0,3.0,6.0,14.0,1.0,8.0,15.0,6.0,2.0,4.0,2.0,20.0,3.0,1.0,4.0,6.0,3.0,2.0
specht,14.0,6.0,2.0,14.0,7.0,15.0,1.0,2.0,6.0,4.0,5.0,15.0,12.0,8.0,11.0,11.0,2.0,4.0,6.0,2.0,5.0,3.0,14.0,3.0,20.0,5.0,3.0,8.0,1.0,13.0
struisvogel,3.0,3.0,2.0,1.0,8.0,5.0,1.0,13.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,11.0,1.0,5.0,20.0,1.0,3.0,2.0,2.0
uil,5.0,8.0,3.0,14.0,6.0,6.0,10.0,2.0,3.0,9.0,13.0,9.0,5.0,3.0,5.0,6.0,1.0,6.0,3.0,1.0,3.0,7.0,1.0,4.0,3.0,1.0,20.0,6.0,3.0,7.0
valk,18.0,9.0,5.0,10.0,8.0,16.0,2.0,3.0,3.0,7.0,4.0,12.0,3.0,8.0,10.0,3.0,1.0,4.0,5.0,6.0,1.0,1.0,14.0,6.0,8.0,3.0,6.0,20.0,1.0,9.0
zwaan,2.0,8.0,16.0,1.0,8.0,2.0,6.0,18.0,2.0,10.0,2.0,2.0,3.0,6.0,4.0,3.0,13.0,5.0,4.0,14.0,16.0,6.0,4.0,3.0,1.0,2.0,3.0,1.0,20.0,4.0
zwaluw,5.0,8.0,2.0,15.0,5.0,12.0,2.0,4.0,2.0,5.0,12.0,7.0,16.0,14.0,15.0,9.0,6.0,2.0,3.0,3.0,5.0,3.0,9.0,2.0,13.0,2.0,7.0,9.0,4.0,20.0
