exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
kettle,1.0,10.0,10.0,2.0,14.0,4.0,6.0,12.0,4.0,1.0,20.0,1.0,10.0,10.0,14.0,3.0,12.0,12.0,17.0,1.0,12.0,20.0,4.0,1.0,2.0,2.0,16.0,12.0,4.0,3.0,3.0,3.0,16.0
knife,4.0,4.0,3.0,14.0,3.0,2.0,19.0,1.0,2.0,2.0,1.0,20.0,2.0,10.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,18.0,2.0,12.0,19.0,1.0,13.0,2.0,4.0,13.0,1.0
microwave oven,3.0,4.0,8.0,5.0,2.0,16.0,4.0,18.0,3.0,2.0,10.0,2.0,20.0,2.0,8.0,1.0,19.0,16.0,12.0,7.0,1.0,3.0,4.0,2.0,3.0,1.0,6.0,15.0,3.0,1.0,2.0,15.0,10.0
mixer,3.0,10.0,8.0,10.0,5.0,7.0,9.0,10.0,2.0,5.0,10.0,10.0,2.0,20.0,4.0,4.0,3.0,1.0,10.0,8.0,5.0,1.0,8.0,3.0,2.0,19.0,15.0,4.0,1.0,10.0,4.0,20.0,2.0
mug,2.0,13.0,20.0,1.0,12.0,12.0,1.0,4.0,19.0,3.0,14.0,3.0,8.0,4.0,20.0,2.0,1.0,2.0,12.0,2.0,8.0,16.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,12.0
nutcracker,2.0,4.0,2.0,3.0,7.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,20.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,14.0,2.0,2.0,2.0,6.0,3.0,2.0,5.0,5.0,4.0
oven,2.0,1.0,4.0,1.0,4.0,12.0,1.0,14.0,4.0,1.0,12.0,2.0,19.0,3.0,1.0,3.0,20.0,12.0,4.0,1.0,3.0,14.0,4.0,3.0,3.0,2.0,2.0,16.0,3.0,14.0,1.0,2.0,15.0
pan,6.0,2.0,12.0,4.0,15.0,14.0,2.0,4.0,12.0,2.0,12.0,4.0,16.0,1.0,2.0,2.0,12.0,20.0,1.0,3.0,13.0,18.0,1.0,3.0,2.0,5.0,9.0,12.0,3.0,9.0,4.0,2.0,16.0
percolator,2.0,3.0,12.0,5.0,1.0,18.0,2.0,1.0,12.0,3.0,17.0,5.0,12.0,10.0,12.0,2.0,4.0,1.0,20.0,3.0,2.0,13.0,2.0,1.0,4.0,3.0,4.0,12.0,10.0,10.0,3.0,10.0,5.0
place mat,5.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,14.0,1.0,3.0,7.0,8.0,2.0,3.0,1.0,3.0,3.0,20.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,3.0,6.0
plate,5.0,1.0,18.0,3.0,15.0,3.0,5.0,1.0,10.0,2.0,12.0,4.0,1.0,5.0,8.0,1.0,3.0,13.0,2.0,4.0,20.0,10.0,3.0,6.0,1.0,2.0,10.0,2.0,8.0,3.0,5.0,2.0,10.0
pot,2.0,3.0,18.0,3.0,14.0,14.0,2.0,8.0,12.0,1.0,20.0,2.0,3.0,1.0,16.0,1.0,14.0,18.0,13.0,3.0,10.0,20.0,1.0,1.0,3.0,2.0,6.0,13.0,2.0,1.0,5.0,4.0,14.0
scales,1.0,2.0,2.0,5.0,1.0,2.0,6.0,2.0,2.0,2.0,4.0,3.0,4.0,8.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,20.0,6.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,8.0,5.0
scissors,5.0,1.0,3.0,13.0,1.0,1.0,8.0,4.0,6.0,3.0,1.0,18.0,2.0,3.0,1.0,14.0,3.0,3.0,1.0,3.0,6.0,1.0,6.0,20.0,4.0,1.0,10.0,3.0,4.0,3.0,2.0,2.0,3.0
sieve,2.0,2.0,12.0,8.0,18.0,3.0,7.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,4.0,20.0,5.0,5.0,2.0,6.0,3.0,1.0,2.0,2.0
spatula,3.0,3.0,3.0,2.0,2.0,2.0,17.0,1.0,2.0,1.0,2.0,12.0,1.0,19.0,3.0,2.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,1.0,5.0,20.0,19.0,3.0,10.0,2.0,3.0,12.0,3.0
spoon,3.0,3.0,8.0,8.0,2.0,1.0,18.0,4.0,6.0,2.0,16.0,19.0,6.0,15.0,1.0,2.0,2.0,9.0,4.0,1.0,10.0,6.0,3.0,10.0,5.0,19.0,20.0,3.0,20.0,4.0,2.0,18.0,4.0
stove,2.0,5.0,1.0,4.0,4.0,15.0,2.0,14.0,4.0,2.0,12.0,1.0,15.0,4.0,2.0,6.0,16.0,12.0,12.0,5.0,2.0,13.0,1.0,3.0,2.0,3.0,3.0,20.0,3.0,3.0,8.0,4.0,2.0
teaspoon,1.0,3.0,6.0,2.0,3.0,10.0,16.0,1.0,3.0,4.0,4.0,13.0,3.0,1.0,1.0,3.0,3.0,3.0,10.0,1.0,8.0,2.0,2.0,4.0,6.0,10.0,20.0,3.0,20.0,2.0,2.0,3.0,4.0
toaster,1.0,2.0,1.0,3.0,3.0,12.0,2.0,12.0,1.0,2.0,3.0,2.0,1.0,10.0,3.0,2.0,14.0,9.0,10.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,20.0,3.0,2.0,4.0
towel,6.0,3.0,4.0,1.0,2.0,10.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,3.0,2.0,5.0,5.0,1.0,2.0,1.0,3.0,2.0,8.0,2.0,3.0,20.0,4.0,3.0
whisk,2.0,6.0,2.0,10.0,2.0,2.0,18.0,1.0,4.0,6.0,3.0,13.0,15.0,20.0,3.0,5.0,2.0,2.0,10.0,3.0,2.0,4.0,8.0,2.0,2.0,12.0,18.0,4.0,3.0,2.0,4.0,20.0,2.0
wok,5.0,6.0,18.0,2.0,14.0,1.0,1.0,4.0,3.0,1.0,16.0,1.0,10.0,2.0,12.0,4.0,15.0,16.0,5.0,6.0,10.0,14.0,5.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,20.0
