exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
plate,4.0,4.0,11.0,6.0,12.0,2.0,7.0,2.0,4.0,6.0,5.0,11.0,7.0,6.0,10.0,4.0,5.0,12.0,5.0,12.0,20.0,11.0,12.0,2.0,4.0,5.0,14.0,5.0,6.0,4.0,2.0,2.0,11.0
pot,2.0,12.0,14.0,5.0,12.0,11.0,3.0,7.0,14.0,2.0,15.0,4.0,2.0,6.0,12.0,3.0,5.0,15.0,15.0,3.0,11.0,20.0,4.0,2.0,4.0,5.0,4.0,9.0,10.0,2.0,3.0,2.0,11.0
scales,1.0,4.0,9.0,12.0,4.0,8.0,4.0,6.0,4.0,3.0,5.0,5.0,7.0,9.0,5.0,9.0,4.0,6.0,5.0,7.0,12.0,4.0,20.0,5.0,6.0,5.0,9.0,2.0,2.0,6.0,2.0,10.0,10.0
scissors,3.0,5.0,2.0,14.0,2.0,4.0,15.0,6.0,2.0,5.0,3.0,15.0,4.0,10.0,3.0,14.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,20.0,6.0,6.0,11.0,4.0,5.0,5.0,2.0,8.0,2.0
sieve,9.0,3.0,9.0,4.0,16.0,4.0,8.0,5.0,2.0,15.0,7.0,3.0,3.0,5.0,3.0,4.0,4.0,9.0,15.0,3.0,4.0,4.0,6.0,6.0,20.0,5.0,7.0,5.0,4.0,2.0,4.0,5.0,2.0
spatula,2.0,5.0,3.0,9.0,3.0,5.0,13.0,2.0,1.0,4.0,3.0,12.0,4.0,8.0,5.0,8.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,20.0,16.0,7.0,3.0,4.0,5.0,13.0,15.0
spoon,2.0,3.0,4.0,9.0,4.0,1.0,18.0,5.0,5.0,10.0,4.0,15.0,2.0,10.0,10.0,14.0,1.0,12.0,7.0,4.0,14.0,4.0,9.0,11.0,7.0,16.0,20.0,3.0,18.0,2.0,3.0,14.0,5.0
stove,3.0,2.0,2.0,2.0,2.0,11.0,3.0,11.0,3.0,7.0,12.0,4.0,12.0,3.0,4.0,7.0,12.0,9.0,9.0,6.0,5.0,9.0,2.0,4.0,5.0,7.0,3.0,20.0,2.0,8.0,4.0,2.0,5.0
teaspoon,3.0,2.0,9.0,12.0,4.0,5.0,17.0,5.0,4.0,8.0,4.0,15.0,2.0,2.0,8.0,5.0,6.0,11.0,11.0,3.0,6.0,10.0,2.0,5.0,4.0,3.0,18.0,2.0,20.0,2.0,4.0,11.0,4.0
toaster,2.0,2.0,2.0,4.0,4.0,11.0,4.0,8.0,2.0,4.0,4.0,6.0,11.0,3.0,4.0,4.0,4.0,7.0,5.0,2.0,4.0,2.0,6.0,5.0,2.0,4.0,2.0,8.0,2.0,20.0,4.0,5.0,5.0
towel,17.0,6.0,5.0,3.0,4.0,7.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,7.0,14.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,20.0,5.0,4.0
whisk,5.0,2.0,3.0,7.0,10.0,3.0,15.0,2.0,3.0,5.0,4.0,12.0,3.0,16.0,6.0,10.0,5.0,6.0,6.0,2.0,2.0,2.0,10.0,8.0,5.0,13.0,14.0,2.0,11.0,5.0,5.0,20.0,6.0
wok,4.0,5.0,14.0,4.0,6.0,3.0,5.0,4.0,3.0,6.0,13.0,5.0,5.0,2.0,7.0,6.0,7.0,16.0,2.0,3.0,11.0,11.0,10.0,2.0,2.0,15.0,5.0,5.0,4.0,5.0,4.0,6.0,20.0
