exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
kar,10.0,12.0,10.0,9.0,10.0,9.0,11.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,20.0,12.0,10.0,10.0,9.0,10.0,10.0,12.0,9.0,10.0,13.0,10.0,10.0,10.0,10.0,9.0
koets,12.0,11.0,9.0,11.0,11.0,9.0,13.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,20.0,10.0,9.0,9.0,8.0,11.0,12.0,11.0,10.0,13.0,10.0,11.0,10.0,9.0,9.0
luchtballon,10.0,10.0,10.0,9.0,9.0,11.0,14.0,9.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,20.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,14.0,9.0,18.0
metrostel,9.0,9.0,9.0,10.0,14.0,10.0,10.0,10.0,10.0,9.0,10.0,13.0,9.0,9.0,10.0,9.0,9.0,20.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,19.0,15.0,9.0,10.0,10.0
moto,12.0,9.0,16.0,17.0,10.0,9.0,10.0,9.0,11.0,15.0,11.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,20.0,16.0,12.0,11.0,11.0,11.0,9.0,9.0,14.0,11.0,11.0,13.0
raket,9.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,14.0,10.0,15.0,9.0,10.0,8.0,11.0,9.0,16.0,20.0,12.0,9.0,9.0,11.0,9.0,9.0,9.0,13.0,10.0,12.0
skateboard,11.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,13.0,14.0,9.0,17.0,9.0,10.0,11.0,9.0,9.0,12.0,12.0,20.0,12.0,14.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0
slede,18.0,9.0,10.0,12.0,11.0,12.0,10.0,9.0,9.0,9.0,13.0,10.0,9.0,9.0,12.0,12.0,10.0,11.0,11.0,9.0,12.0,20.0,10.0,11.0,9.0,9.0,9.0,10.0,9.0,11.0
step,10.0,9.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,17.0,14.0,9.0,9.0,12.0,9.0,11.0,10.0,10.0,11.0,9.0,14.0,10.0,20.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0
taxi,19.0,10.0,10.0,10.0,12.0,13.0,14.0,12.0,9.0,10.0,12.0,10.0,8.0,14.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,11.0,9.0,20.0,10.0,13.0,12.0,15.0,11.0,9.0
tractor,12.0,9.0,12.0,10.0,13.0,12.0,12.0,11.0,9.0,10.0,9.0,9.0,10.0,12.0,13.0,13.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,20.0,10.0,9.0,9.0,14.0,9.0
tram,10.0,9.0,10.0,13.0,15.0,10.0,11.0,11.0,9.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,19.0,9.0,9.0,10.0,9.0,11.0,13.0,10.0,20.0,17.0,11.0,11.0,9.0
trein,10.0,10.0,9.0,10.0,16.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,15.0,14.0,9.0,10.0,9.0,10.0,12.0,9.0,17.0,20.0,12.0,12.0,12.0
vliegtuig,12.0,12.0,14.0,11.0,11.0,9.0,11.0,9.0,10.0,12.0,10.0,18.0,9.0,9.0,10.0,10.0,14.0,9.0,11.0,13.0,9.0,10.0,10.0,15.0,9.0,11.0,12.0,20.0,11.0,14.0
vrachtwagen,13.0,12.0,11.0,11.0,12.0,20.0,17.0,11.0,9.0,11.0,10.0,9.0,13.0,13.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,14.0,11.0,12.0,11.0,20.0,11.0
zeppelin,8.0,16.0,9.0,9.0,9.0,10.0,10.0,9.0,12.0,12.0,8.0,13.0,9.0,9.0,9.0,9.0,18.0,10.0,13.0,12.0,10.0,11.0,9.0,9.0,9.0,9.0,12.0,14.0,11.0,20.0
