exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
metrostel,5.0,3.0,5.0,2.0,9.0,3.0,4.0,4.0,8.0,3.0,3.0,9.0,2.0,3.0,5.0,4.0,5.0,20.0,5.0,3.0,3.0,5.0,3.0,9.0,5.0,10.0,11.0,8.0,4.0,5.0
moto,12.0,4.0,18.0,18.0,6.0,5.0,7.0,3.0,2.0,10.0,6.0,7.0,5.0,10.0,5.0,3.0,9.0,5.0,20.0,3.0,7.0,9.0,8.0,9.0,6.0,5.0,2.0,8.0,9.0,8.0
raket,2.0,3.0,2.0,3.0,8.0,3.0,3.0,8.0,9.0,3.0,2.0,7.0,4.0,8.0,4.0,2.0,6.0,3.0,3.0,20.0,5.0,4.0,5.0,2.0,5.0,2.0,4.0,9.0,6.0,9.0
skateboard,8.0,3.0,10.0,6.0,5.0,5.0,6.0,8.0,2.0,8.0,5.0,3.0,2.0,8.0,4.0,8.0,4.0,3.0,7.0,5.0,20.0,10.0,14.0,7.0,5.0,5.0,3.0,4.0,4.0,5.0
slede,3.0,4.0,4.0,7.0,4.0,6.0,3.0,6.0,4.0,7.0,10.0,5.0,4.0,3.0,11.0,11.0,4.0,5.0,9.0,4.0,10.0,20.0,10.0,7.0,9.0,7.0,6.0,8.0,3.0,3.0
step,5.0,8.0,9.0,9.0,7.0,5.0,4.0,6.0,5.0,9.0,7.0,3.0,3.0,3.0,9.0,6.0,7.0,3.0,8.0,5.0,14.0,10.0,20.0,4.0,2.0,9.0,2.0,3.0,2.0,7.0
taxi,15.0,5.0,5.0,9.0,10.0,3.0,8.0,8.0,3.0,8.0,8.0,5.0,8.0,14.0,9.0,10.0,3.0,9.0,9.0,2.0,7.0,7.0,4.0,20.0,9.0,9.0,9.0,4.0,10.0,4.0
tractor,9.0,9.0,5.0,12.0,8.0,9.0,9.0,8.0,7.0,3.0,8.0,4.0,6.0,6.0,5.0,3.0,3.0,5.0,6.0,5.0,5.0,9.0,2.0,9.0,20.0,5.0,4.0,5.0,9.0,4.0
tram,5.0,5.0,9.0,8.0,12.0,7.0,8.0,3.0,3.0,5.0,5.0,4.0,8.0,5.0,5.0,7.0,6.0,10.0,5.0,2.0,5.0,7.0,9.0,9.0,5.0,20.0,15.0,2.0,7.0,5.0
trein,7.0,11.0,6.0,7.0,9.0,10.0,8.0,8.0,9.0,9.0,3.0,4.0,7.0,7.0,8.0,6.0,4.0,11.0,2.0,4.0,3.0,6.0,2.0,9.0,4.0,15.0,20.0,9.0,9.0,7.0
vliegtuig,3.0,3.0,5.0,4.0,8.0,8.0,3.0,4.0,2.0,4.0,4.0,14.0,8.0,3.0,4.0,8.0,12.0,8.0,8.0,9.0,4.0,8.0,3.0,4.0,5.0,2.0,9.0,20.0,5.0,12.0
vrachtwagen,8.0,5.0,5.0,3.0,12.0,20.0,10.0,8.0,7.0,5.0,3.0,5.0,2.0,10.0,8.0,3.0,4.0,4.0,9.0,6.0,4.0,3.0,2.0,10.0,9.0,7.0,9.0,5.0,20.0,6.0
zeppelin,5.0,10.0,5.0,5.0,7.0,5.0,8.0,5.0,9.0,3.0,9.0,7.0,6.0,6.0,2.0,5.0,15.0,5.0,8.0,9.0,5.0,3.0,7.0,4.0,4.0,5.0,7.0,12.0,6.0,20.0
