exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
gocart,3.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
helikopter,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,10.0
hovercraft,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0
jeep,16.0,1.0,2.0,1.0,7.0,6.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,18.0,2.0,2.0,2.0,1.0,16.0,2.0
kar,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,5.0,1.0,1.0,1.0,1.0,2.0,16.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
koets,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,20.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,12.0,1.0,2.0,1.0
luchtballon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,16.0
metrostel,2.0,1.0,1.0,1.0,11.0,10.0,2.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,20.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,16.0,13.0,7.0,7.0,1.0
moto,3.0,1.0,16.0,16.0,2.0,2.0,3.0,3.0,1.0,15.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
raket,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,20.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0
skateboard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,20.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
slede,2.0,2.0,1.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,16.0,3.0,1.0,1.0,3.0,1.0,8.0,20.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
step,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
taxi,20.0,1.0,1.0,2.0,4.0,13.0,9.0,4.0,1.0,1.0,2.0,1.0,1.0,18.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,20.0,3.0,3.0,3.0,1.0,10.0,1.0
tractor,2.0,1.0,2.0,1.0,2.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,9.0,1.0
tram,5.0,1.0,1.0,1.0,13.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,16.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,20.0,14.0,1.0,1.0,1.0
trein,2.0,1.0,1.0,1.0,10.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,1.0,13.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,14.0,20.0,2.0,6.0,1.0
vliegtuig,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,15.0,3.0,1.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,1.0,11.0
vrachtwagen,16.0,1.0,2.0,2.0,14.0,15.0,14.0,13.0,2.0,2.0,2.0,1.0,1.0,16.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,6.0,1.0,20.0,1.0
zeppelin,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,6.0,2.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,20.0
