exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
fluit,2.0,4.0,2.0,6.0,3.0,6.0,7.0,3.0,10.0,,20.0,5.0,10.0,15.0,6.0,9.0,5.0,18.0,3.0,6.0,7.0,3.0,12.0,7.0,3.0,3.0,5.0
gitaar,7.0,17.0,19.0,10.0,3.0,8.0,3.0,3.0,3.0,,5.0,20.0,3.0,6.0,7.0,2.0,3.0,2.0,6.0,3.0,8.0,3.0,3.0,6.0,6.0,7.0,6.0
harp,3.0,9.0,2.0,5.0,7.0,6.0,9.0,1.0,7.0,,10.0,3.0,20.0,8.0,6.0,4.0,11.0,15.0,2.0,5.0,2.0,6.0,11.0,7.0,3.0,4.0,7.0
klarinet,6.0,7.0,3.0,5.0,7.0,7.0,3.0,3.0,12.0,,15.0,6.0,8.0,20.0,6.0,6.0,3.0,10.0,6.0,7.0,4.0,8.0,6.0,7.0,3.0,12.0,3.0
klavecimbel,3.0,2.0,3.0,6.0,11.0,6.0,2.0,5.0,2.0,,6.0,7.0,6.0,6.0,20.0,6.0,3.0,3.0,4.0,3.0,3.0,6.0,6.0,3.0,3.0,10.0,14.0
mondharmonica,9.0,5.0,3.0,7.0,4.0,3.0,4.0,3.0,13.0,,9.0,2.0,4.0,6.0,6.0,20.0,3.0,6.0,5.0,3.0,3.0,10.0,8.0,7.0,2.0,3.0,3.0
orgel,3.0,6.0,3.0,8.0,2.0,3.0,3.0,6.0,3.0,,5.0,3.0,11.0,3.0,3.0,3.0,20.0,6.0,17.0,3.0,2.0,7.0,2.0,3.0,3.0,2.0,10.0
panfluit,3.0,3.0,2.0,7.0,3.0,2.0,7.0,3.0,18.0,,18.0,2.0,15.0,10.0,3.0,6.0,6.0,20.0,5.0,6.0,3.0,9.0,9.0,4.0,6.0,6.0,3.0
piano,9.0,3.0,2.0,8.0,2.0,3.0,3.0,5.0,3.0,,3.0,6.0,2.0,6.0,4.0,5.0,17.0,5.0,20.0,3.0,16.0,2.0,3.0,5.0,3.0,3.0,5.0
saxofoon,3.0,9.0,6.0,5.0,3.0,13.0,3.0,6.0,9.0,,6.0,3.0,5.0,7.0,3.0,3.0,3.0,6.0,3.0,20.0,2.0,2.0,4.0,10.0,6.0,16.0,6.0
synthesizer,9.0,3.0,8.0,6.0,3.0,8.0,3.0,9.0,4.0,,7.0,8.0,2.0,4.0,3.0,3.0,2.0,3.0,16.0,2.0,20.0,3.0,6.0,6.0,3.0,5.0,2.0
tamboerijn,4.0,4.0,3.0,6.0,10.0,2.0,7.0,6.0,3.0,,3.0,3.0,6.0,8.0,6.0,10.0,7.0,9.0,2.0,2.0,3.0,20.0,13.0,2.0,7.0,3.0,7.0
triangel,2.0,5.0,1.0,6.0,8.0,5.0,3.0,2.0,6.0,,12.0,3.0,11.0,6.0,6.0,8.0,2.0,9.0,3.0,4.0,6.0,13.0,20.0,3.0,8.0,4.0,3.0
trombone,3.0,3.0,3.0,13.0,3.0,6.0,9.0,3.0,7.0,,7.0,6.0,7.0,7.0,3.0,7.0,3.0,4.0,5.0,10.0,6.0,2.0,3.0,20.0,7.0,15.0,7.0
trommel,3.0,3.0,6.0,10.0,6.0,5.0,7.0,16.0,6.0,,3.0,6.0,3.0,3.0,3.0,2.0,3.0,6.0,3.0,6.0,3.0,7.0,8.0,7.0,20.0,6.0,3.0
trompet,6.0,3.0,6.0,6.0,6.0,6.0,3.0,5.0,10.0,,3.0,7.0,4.0,12.0,10.0,3.0,2.0,6.0,3.0,16.0,5.0,3.0,4.0,15.0,6.0,20.0,6.0
viool,6.0,3.0,2.0,6.0,7.0,2.0,2.0,1.0,5.0,,5.0,6.0,7.0,3.0,14.0,3.0,10.0,3.0,5.0,6.0,2.0,7.0,3.0,7.0,3.0,6.0,20.0
