exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
fluit,6.0,2.0,5.0,4.0,2.0,2.0,10.0,2.0,12.0,16.0,20.0,2.0,3.0,15.0,2.0,5.0,6.0,14.0,4.0,12.0,5.0,2.0,4.0,14.0,3.0,12.0,2.0
gitaar,4.0,18.0,19.0,6.0,1.0,16.0,2.0,2.0,2.0,3.0,2.0,20.0,16.0,2.0,5.0,4.0,2.0,2.0,9.0,4.0,2.0,1.0,5.0,3.0,1.0,4.0,16.0
harp,5.0,9.0,7.0,5.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,16.0,20.0,3.0,11.0,6.0,4.0,4.0,5.0,3.0,16.0,3.0,4.0,3.0,3.0,2.0,6.0
klarinet,5.0,4.0,2.0,2.0,2.0,4.0,6.0,2.0,13.0,17.0,15.0,2.0,3.0,20.0,3.0,2.0,5.0,7.0,4.0,16.0,4.0,2.0,3.0,11.0,5.0,14.0,3.0
klavecimbel,11.0,6.0,6.0,5.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,5.0,11.0,3.0,20.0,3.0,17.0,2.0,19.0,3.0,18.0,2.0,4.0,2.0,4.0,2.0,6.0
mondharmonica,18.0,2.0,5.0,2.0,2.0,1.0,16.0,2.0,6.0,4.0,5.0,4.0,6.0,2.0,3.0,20.0,15.0,12.0,4.0,8.0,11.0,3.0,1.0,6.0,3.0,4.0,4.0
orgel,17.0,3.0,4.0,4.0,1.0,4.0,13.0,4.0,8.0,7.0,6.0,2.0,4.0,5.0,17.0,15.0,20.0,12.0,19.0,2.0,18.0,2.0,3.0,12.0,2.0,11.0,2.0
panfluit,4.0,11.0,2.0,3.0,1.0,2.0,5.0,1.0,6.0,6.0,14.0,2.0,4.0,7.0,2.0,12.0,12.0,20.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,6.0,1.0
piano,13.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,4.0,9.0,5.0,4.0,19.0,4.0,19.0,2.0,20.0,4.0,19.0,3.0,1.0,2.0,1.0,1.0,3.0
saxofoon,11.0,2.0,4.0,2.0,2.0,5.0,8.0,2.0,6.0,14.0,12.0,4.0,3.0,16.0,3.0,8.0,2.0,4.0,4.0,20.0,3.0,4.0,2.0,14.0,2.0,16.0,2.0
synthesizer,5.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,5.0,5.0,5.0,2.0,16.0,4.0,18.0,11.0,18.0,2.0,19.0,3.0,20.0,3.0,1.0,6.0,4.0,2.0,3.0
tamboerijn,1.0,3.0,2.0,2.0,15.0,2.0,2.0,16.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,20.0,6.0,3.0,18.0,3.0,1.0
triangel,3.0,2.0,2.0,2.0,15.0,2.0,1.0,15.0,1.0,2.0,4.0,5.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,6.0,20.0,3.0,14.0,1.0,1.0
trombone,10.0,3.0,4.0,1.0,3.0,3.0,15.0,3.0,13.0,14.0,14.0,3.0,3.0,11.0,2.0,6.0,12.0,5.0,2.0,14.0,6.0,3.0,3.0,20.0,2.0,17.0,3.0
trommel,3.0,4.0,3.0,1.0,9.0,2.0,4.0,18.0,5.0,5.0,3.0,1.0,3.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,18.0,14.0,2.0,20.0,4.0,2.0
trompet,5.0,4.0,4.0,2.0,1.0,2.0,6.0,3.0,7.0,10.0,12.0,4.0,2.0,14.0,2.0,4.0,11.0,6.0,1.0,16.0,2.0,3.0,1.0,17.0,4.0,20.0,4.0
viool,4.0,14.0,15.0,19.0,1.0,18.0,3.0,2.0,2.0,4.0,2.0,16.0,6.0,3.0,6.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,20.0
