exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
fluit,9.0,7.0,3.0,4.0,4.0,5.0,14.0,5.0,18.0,17.0,20.0,7.0,6.0,17.0,4.0,16.0,6.0,19.0,7.0,19.0,5.0,7.0,6.0,16.0,6.0,18.0,6.0
gitaar,7.0,19.0,19.0,4.0,5.0,13.0,10.0,9.0,4.0,4.0,7.0,20.0,7.0,8.0,5.0,3.0,5.0,4.0,9.0,6.0,11.0,9.0,3.0,7.0,4.0,3.0,16.0
harp,11.0,11.0,13.0,9.0,7.0,6.0,8.0,4.0,4.0,5.0,6.0,7.0,20.0,6.0,6.0,4.0,7.0,4.0,3.0,8.0,3.0,5.0,12.0,8.0,2.0,4.0,15.0
klarinet,9.0,5.0,5.0,7.0,5.0,6.0,16.0,3.0,19.0,15.0,17.0,8.0,6.0,20.0,7.0,9.0,8.0,16.0,6.0,19.0,4.0,4.0,4.0,17.0,8.0,19.0,9.0
klavecimbel,7.0,4.0,6.0,9.0,4.0,8.0,9.0,10.0,9.0,6.0,4.0,5.0,6.0,7.0,20.0,3.0,16.0,4.0,19.0,6.0,19.0,6.0,8.0,7.0,10.0,8.0,9.0
mondharmonica,3.0,4.0,6.0,5.0,9.0,7.0,3.0,2.0,13.0,9.0,16.0,3.0,4.0,9.0,3.0,20.0,8.0,18.0,3.0,9.0,2.0,9.0,5.0,13.0,7.0,14.0,6.0
orgel,12.0,6.0,6.0,4.0,4.0,5.0,10.0,3.0,4.0,4.0,6.0,5.0,7.0,8.0,16.0,8.0,20.0,5.0,16.0,8.0,14.0,4.0,4.0,9.0,4.0,7.0,7.0
panfluit,8.0,6.0,5.0,3.0,3.0,4.0,13.0,3.0,18.0,11.0,19.0,4.0,4.0,16.0,4.0,18.0,5.0,20.0,3.0,15.0,3.0,3.0,5.0,13.0,5.0,16.0,5.0
piano,13.0,7.0,6.0,5.0,2.0,9.0,16.0,5.0,5.0,4.0,7.0,9.0,3.0,6.0,19.0,3.0,16.0,3.0,20.0,7.0,19.0,4.0,4.0,8.0,4.0,4.0,8.0
saxofoon,12.0,6.0,8.0,6.0,3.0,4.0,14.0,4.0,19.0,16.0,19.0,6.0,8.0,19.0,6.0,9.0,8.0,15.0,7.0,20.0,4.0,6.0,3.0,16.0,7.0,18.0,6.0
synthesizer,12.0,7.0,4.0,8.0,4.0,6.0,3.0,4.0,6.0,5.0,5.0,11.0,3.0,4.0,19.0,2.0,14.0,3.0,19.0,4.0,20.0,3.0,3.0,5.0,8.0,6.0,7.0
tamboerijn,4.0,2.0,4.0,4.0,14.0,5.0,10.0,16.0,3.0,7.0,7.0,9.0,5.0,4.0,6.0,9.0,4.0,3.0,4.0,6.0,3.0,20.0,18.0,2.0,14.0,7.0,3.0
triangel,6.0,3.0,4.0,6.0,16.0,5.0,3.0,11.0,5.0,4.0,6.0,3.0,12.0,4.0,8.0,5.0,4.0,5.0,4.0,3.0,3.0,18.0,20.0,7.0,14.0,3.0,3.0
trombone,7.0,4.0,4.0,4.0,4.0,6.0,13.0,7.0,17.0,13.0,16.0,7.0,8.0,17.0,7.0,13.0,9.0,13.0,8.0,16.0,5.0,2.0,7.0,20.0,8.0,18.0,4.0
trommel,4.0,4.0,8.0,6.0,15.0,8.0,4.0,18.0,8.0,7.0,6.0,4.0,2.0,8.0,10.0,7.0,4.0,5.0,4.0,7.0,8.0,14.0,14.0,8.0,20.0,3.0,5.0
trompet,11.0,6.0,9.0,8.0,2.0,4.0,16.0,4.0,16.0,16.0,18.0,3.0,4.0,19.0,8.0,14.0,7.0,16.0,4.0,18.0,6.0,7.0,3.0,18.0,3.0,20.0,6.0
viool,4.0,15.0,14.0,14.0,4.0,15.0,6.0,6.0,9.0,6.0,6.0,16.0,15.0,9.0,9.0,6.0,7.0,5.0,8.0,6.0,7.0,3.0,3.0,4.0,5.0,6.0,20.0
