exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
gymnastics,4.0,16.0,12.0,4.0,4.0,2.0,1.0,1.0,10.0,10.0,20.0,4.0,2.0,5.0,10.0,12.0,7.0,10.0,4.0,5.0,7.0,2.0,1.0,6.0,12.0,4.0,4.0,4.0,5.0,13.0
handball,6.0,6.0,12.0,15.0,8.0,3.0,2.0,1.0,4.0,3.0,4.0,20.0,1.0,3.0,4.0,9.0,16.0,4.0,3.0,12.0,1.0,15.0,1.0,10.0,4.0,4.0,4.0,4.0,9.0,13.0
horseback riding,2.0,6.0,3.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,20.0,1.0,2.0,9.0,4.0,10.0,8.0,2.0,8.0,1.0,8.0,1.0,7.0,1.0,6.0,1.0,1.0,10.0
ice hockey,4.0,2.0,4.0,8.0,10.0,3.0,1.0,3.0,12.0,16.0,5.0,3.0,1.0,20.0,1.0,4.0,10.0,7.0,1.0,10.0,7.0,12.0,1.0,13.0,2.0,2.0,7.0,1.0,7.0,12.0
judo,4.0,9.0,2.0,1.0,1.0,13.0,2.0,2.0,10.0,1.0,10.0,4.0,2.0,1.0,20.0,5.0,12.0,4.0,2.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,4.0,5.0,2.0,4.0
long jump,4.0,11.0,3.0,3.0,3.0,6.0,1.0,5.0,6.0,5.0,12.0,9.0,9.0,4.0,5.0,20.0,11.0,13.0,6.0,13.0,6.0,12.0,1.0,9.0,12.0,3.0,4.0,7.0,2.0,13.0
rugby,7.0,6.0,16.0,7.0,4.0,12.0,1.0,7.0,5.0,6.0,7.0,16.0,4.0,10.0,12.0,11.0,20.0,15.0,6.0,15.0,4.0,10.0,1.0,8.0,4.0,10.0,4.0,6.0,10.0,11.0
running,6.0,6.0,4.0,7.0,1.0,1.0,1.0,14.0,2.0,2.0,10.0,4.0,10.0,7.0,4.0,13.0,15.0,20.0,8.0,12.0,10.0,12.0,6.0,10.0,2.0,10.0,2.0,3.0,4.0,18.0
sailing,1.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,12.0,4.0,4.0,3.0,8.0,1.0,2.0,6.0,6.0,8.0,20.0,1.0,10.0,1.0,4.0,5.0,14.0,2.0,3.0,4.0,1.0,13.0
shot-put,8.0,1.0,15.0,13.0,6.0,12.0,1.0,1.0,4.0,9.0,5.0,12.0,2.0,10.0,4.0,13.0,15.0,12.0,1.0,20.0,1.0,8.0,1.0,10.0,1.0,1.0,5.0,7.0,5.0,11.0
skiing,1.0,7.0,1.0,1.0,2.0,1.0,1.0,11.0,1.0,3.0,7.0,1.0,8.0,7.0,1.0,6.0,4.0,10.0,10.0,1.0,20.0,3.0,2.0,2.0,13.0,3.0,1.0,1.0,1.0,7.0
soccer,6.0,5.0,10.0,8.0,8.0,2.0,1.0,3.0,4.0,11.0,2.0,15.0,1.0,12.0,5.0,12.0,10.0,12.0,1.0,8.0,3.0,20.0,1.0,8.0,7.0,1.0,1.0,1.0,5.0,6.0
sport fishing,1.0,3.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,6.0,4.0,1.0,2.0,1.0,20.0,5.0,4.0,5.0,3.0,1.0,1.0,7.0
squash,16.0,1.0,13.0,10.0,9.0,6.0,2.0,3.0,5.0,10.0,6.0,10.0,1.0,13.0,2.0,9.0,8.0,10.0,5.0,10.0,2.0,8.0,5.0,20.0,1.0,1.0,15.0,15.0,4.0,10.0
surfing,4.0,11.0,5.0,4.0,4.0,2.0,1.0,4.0,12.0,1.0,12.0,4.0,7.0,2.0,2.0,12.0,4.0,2.0,14.0,1.0,13.0,7.0,4.0,1.0,20.0,10.0,7.0,4.0,4.0,6.0
swimming,1.0,12.0,1.0,1.0,3.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,10.0,10.0,2.0,1.0,3.0,1.0,5.0,1.0,10.0,20.0,1.0,7.0,1.0,13.0
table tennis,13.0,1.0,7.0,6.0,8.0,4.0,2.0,1.0,1.0,10.0,4.0,4.0,6.0,7.0,4.0,4.0,4.0,2.0,3.0,5.0,1.0,1.0,3.0,15.0,7.0,1.0,20.0,15.0,5.0,8.0
tennis,17.0,4.0,3.0,4.0,6.0,6.0,2.0,1.0,9.0,5.0,4.0,4.0,1.0,1.0,5.0,7.0,6.0,3.0,4.0,7.0,1.0,1.0,1.0,15.0,4.0,7.0,15.0,20.0,6.0,7.0
volleyball,12.0,10.0,5.0,10.0,5.0,11.0,2.0,6.0,3.0,3.0,5.0,9.0,1.0,7.0,2.0,2.0,10.0,4.0,1.0,5.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,6.0,20.0,3.0
walking,8.0,10.0,4.0,2.0,7.0,8.0,6.0,9.0,4.0,13.0,13.0,13.0,10.0,12.0,4.0,13.0,11.0,18.0,13.0,11.0,7.0,6.0,7.0,10.0,6.0,13.0,8.0,7.0,3.0,20.0
