exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
gymnastics,4.0,16.0,3.0,2.0,2.0,6.0,1.0,2.0,9.0,2.0,20.0,2.0,16.0,9.0,15.0,9.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,13.0,3.0,11.0,10.0,5.0,5.0,4.0
handball,6.0,2.0,3.0,8.0,3.0,2.0,1.0,2.0,11.0,2.0,2.0,20.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,14.0,2.0,9.0,18.0,1.0
horseback riding,13.0,9.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,16.0,1.0,20.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,3.0,12.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
ice hockey,2.0,2.0,2.0,2.0,9.0,2.0,1.0,9.0,2.0,8.0,9.0,2.0,2.0,20.0,2.0,2.0,2.0,3.0,2.0,3.0,9.0,8.0,2.0,4.0,2.0,2.0,2.0,9.0,5.0,3.0
judo,2.0,4.0,10.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,15.0,2.0,2.0,2.0,20.0,3.0,6.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,8.0
long jump,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,9.0,2.0,2.0,2.0,3.0,20.0,2.0,7.0,2.0,5.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,10.0
rugby,3.0,2.0,13.0,10.0,2.0,8.0,2.0,2.0,11.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,20.0,2.0,2.0,2.0,3.0,13.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0
running,2.0,2.0,2.0,5.0,2.0,2.0,1.0,6.0,2.0,10.0,4.0,4.0,3.0,3.0,6.0,7.0,2.0,20.0,2.0,3.0,3.0,9.0,2.0,2.0,11.0,2.0,2.0,5.0,3.0,20.0
sailing,1.0,12.0,2.0,1.0,2.0,1.0,1.0,2.0,10.0,2.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,6.0,2.0,2.0,4.0,16.0,6.0,2.0,2.0,2.0,2.0
shot-put,2.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,3.0,2.0,20.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0
skiing,3.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,3.0,2.0,3.0,9.0,2.0,2.0,3.0,3.0,6.0,3.0,20.0,2.0,2.0,2.0,11.0,2.0,2.0,2.0,2.0,7.0
soccer,2.0,2.0,12.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,6.0,12.0,8.0,2.0,14.0,13.0,9.0,2.0,7.0,2.0,20.0,2.0,2.0,2.0,2.0,3.0,6.0,5.0,4.0
sport fishing,2.0,11.0,2.0,3.0,6.0,12.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,6.0,4.0,2.0,5.0,3.0,12.0
squash,8.0,2.0,2.0,8.0,4.0,2.0,3.0,2.0,4.0,2.0,13.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,13.0,4.0,15.0
surfing,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,11.0,16.0,2.0,11.0,2.0,6.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0
swimming,2.0,4.0,2.0,2.0,11.0,1.0,4.0,19.0,1.0,2.0,11.0,14.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,20.0,2.0,2.0,3.0,2.0
table tennis,10.0,3.0,2.0,2.0,10.0,4.0,1.0,2.0,8.0,6.0,10.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,20.0,18.0,9.0,1.0
tennis,16.0,4.0,5.0,4.0,2.0,3.0,6.0,2.0,2.0,2.0,5.0,9.0,2.0,9.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,6.0,5.0,13.0,2.0,2.0,18.0,20.0,13.0,2.0
volleyball,13.0,3.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,18.0,2.0,5.0,2.0,2.0,4.0,3.0,2.0,6.0,2.0,5.0,3.0,4.0,2.0,3.0,9.0,13.0,20.0,2.0
walking,2.0,6.0,2.0,10.0,2.0,7.0,3.0,3.0,4.0,6.0,4.0,1.0,2.0,3.0,8.0,10.0,2.0,20.0,2.0,3.0,7.0,4.0,12.0,15.0,2.0,2.0,1.0,2.0,2.0,20.0
