exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
gymnastics,5.0,14.0,4.0,5.0,2.0,6.0,3.0,4.0,6.0,3.0,20.0,4.0,5.0,4.0,7.0,6.0,4.0,6.0,5.0,3.0,6.0,3.0,3.0,6.0,7.0,6.0,4.0,5.0,4.0,8.0
handball,3.0,4.0,12.0,16.0,4.0,6.0,2.0,5.0,6.0,3.0,4.0,20.0,7.0,6.0,5.0,6.0,8.0,6.0,5.0,8.0,5.0,7.0,3.0,7.0,5.0,5.0,4.0,5.0,11.0,7.0
horseback riding,4.0,3.0,5.0,7.0,2.0,5.0,3.0,4.0,6.0,3.0,5.0,7.0,20.0,4.0,5.0,6.0,8.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,11.0,5.0,5.0,5.0,6.0
ice hockey,4.0,4.0,11.0,5.0,2.0,5.0,2.0,4.0,4.0,3.0,4.0,6.0,4.0,20.0,4.0,4.0,8.0,6.0,6.0,3.0,7.0,6.0,2.0,5.0,5.0,5.0,3.0,5.0,6.0,4.0
judo,5.0,9.0,6.0,5.0,2.0,6.0,3.0,5.0,7.0,3.0,7.0,5.0,5.0,4.0,20.0,5.0,12.0,5.0,5.0,5.0,4.0,4.0,2.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0
long jump,5.0,6.0,8.0,5.0,4.0,5.0,2.0,7.0,4.0,4.0,6.0,6.0,6.0,4.0,5.0,20.0,4.0,9.0,4.0,8.0,5.0,7.0,3.0,6.0,6.0,4.0,4.0,4.0,4.0,8.0
rugby,3.0,3.0,15.0,3.0,2.0,11.0,2.0,4.0,4.0,2.0,4.0,8.0,8.0,8.0,12.0,4.0,20.0,9.0,6.0,6.0,4.0,6.0,2.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0
running,6.0,7.0,9.0,7.0,2.0,6.0,2.0,5.0,10.0,2.0,6.0,6.0,7.0,6.0,5.0,9.0,9.0,20.0,5.0,6.0,7.0,9.0,2.0,12.0,5.0,6.0,6.0,5.0,6.0,16.0
sailing,5.0,4.0,5.0,6.0,2.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,5.0,20.0,4.0,5.0,6.0,9.0,6.0,16.0,8.0,4.0,5.0,6.0,6.0
shot-put,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,7.0,4.0,3.0,8.0,4.0,3.0,5.0,8.0,6.0,6.0,4.0,20.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0
skiing,5.0,3.0,5.0,4.0,2.0,6.0,2.0,4.0,5.0,3.0,6.0,5.0,4.0,7.0,4.0,5.0,4.0,7.0,5.0,4.0,20.0,4.0,2.0,4.0,8.0,5.0,3.0,5.0,4.0,7.0
soccer,3.0,11.0,10.0,8.0,3.0,4.0,2.0,11.0,4.0,3.0,3.0,7.0,4.0,6.0,4.0,7.0,6.0,9.0,6.0,4.0,4.0,20.0,2.0,4.0,5.0,3.0,5.0,5.0,7.0,8.0
sport fishing,3.0,3.0,2.0,3.0,13.0,3.0,12.0,2.0,7.0,6.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,9.0,2.0,2.0,2.0,20.0,2.0,3.0,3.0,3.0,2.0,3.0,8.0
squash,15.0,3.0,5.0,8.0,2.0,5.0,3.0,4.0,7.0,2.0,6.0,7.0,4.0,5.0,6.0,6.0,6.0,12.0,6.0,4.0,4.0,4.0,2.0,20.0,5.0,5.0,11.0,17.0,6.0,6.0
surfing,6.0,8.0,5.0,6.0,2.0,5.0,2.0,5.0,5.0,3.0,7.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,16.0,4.0,8.0,5.0,3.0,5.0,20.0,5.0,2.0,5.0,4.0,7.0
swimming,4.0,6.0,3.0,6.0,2.0,4.0,2.0,5.0,4.0,3.0,6.0,5.0,11.0,5.0,6.0,4.0,6.0,6.0,8.0,5.0,5.0,3.0,3.0,5.0,5.0,20.0,5.0,4.0,7.0,8.0
table tennis,14.0,5.0,4.0,4.0,3.0,4.0,4.0,6.0,9.0,3.0,4.0,4.0,5.0,3.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,5.0,3.0,11.0,2.0,5.0,20.0,12.0,4.0,7.0
tennis,16.0,6.0,13.0,6.0,2.0,4.0,2.0,5.0,9.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,17.0,5.0,4.0,12.0,20.0,5.0,8.0
volleyball,7.0,4.0,4.0,11.0,2.0,4.0,2.0,5.0,5.0,3.0,4.0,11.0,5.0,6.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,7.0,3.0,6.0,4.0,7.0,4.0,5.0,20.0,5.0
walking,5.0,7.0,4.0,6.0,4.0,3.0,4.0,8.0,5.0,8.0,8.0,7.0,6.0,4.0,6.0,8.0,6.0,16.0,6.0,6.0,7.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,5.0,20.0
