exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
sailing,5.0,11.0,4.0,7.0,4.0,5.0,5.0,9.0,9.0,17.0,7.0,8.0,11.0,7.0,12.0,5.0,5.0,5.0,20.0,2.0,6.0,5.0,13.0,11.0,15.0,12.0,5.0,8.0,5.0,8.0
shot-put,9.0,12.0,9.0,5.0,11.0,9.0,3.0,5.0,8.0,14.0,8.0,5.0,6.0,5.0,9.0,10.0,11.0,6.0,2.0,20.0,6.0,8.0,5.0,7.0,5.0,5.0,7.0,6.0,10.0,11.0
skiing,5.0,7.0,5.0,9.0,5.0,5.0,6.0,9.0,8.0,3.0,8.0,9.0,6.0,10.0,8.0,9.0,6.0,13.0,6.0,6.0,20.0,11.0,4.0,5.0,15.0,4.0,5.0,14.0,9.0,8.0
soccer,9.0,4.0,6.0,12.0,8.0,12.0,6.0,8.0,5.0,4.0,10.0,14.0,6.0,10.0,11.0,8.0,19.0,12.0,5.0,8.0,11.0,20.0,5.0,6.0,6.0,7.0,9.0,6.0,16.0,12.0
sport fishing,10.0,6.0,9.0,6.0,4.0,5.0,5.0,11.0,5.0,7.0,9.0,6.0,6.0,7.0,9.0,11.0,6.0,8.0,13.0,5.0,4.0,5.0,20.0,6.0,8.0,10.0,8.0,6.0,6.0,6.0
squash,14.0,12.0,11.0,9.0,4.0,7.0,5.0,5.0,12.0,10.0,7.0,15.0,5.0,5.0,5.0,9.0,7.0,12.0,11.0,7.0,5.0,6.0,6.0,20.0,4.0,2.0,14.0,16.0,10.0,8.0
surfing,6.0,10.0,9.0,4.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0,7.0,8.0,5.0,9.0,5.0,8.0,5.0,15.0,5.0,15.0,6.0,8.0,4.0,20.0,6.0,11.0,5.0,5.0,9.0
swimming,4.0,14.0,6.0,5.0,5.0,8.0,5.0,4.0,7.0,6.0,12.0,9.0,7.0,4.0,1.0,8.0,12.0,11.0,12.0,5.0,4.0,7.0,10.0,2.0,6.0,20.0,4.0,8.0,7.0,8.0
table tennis,10.0,11.0,7.0,7.0,9.0,8.0,6.0,7.0,8.0,8.0,6.0,6.0,6.0,11.0,9.0,6.0,6.0,7.0,5.0,7.0,5.0,9.0,8.0,14.0,11.0,4.0,20.0,1.0,10.0,10.0
tennis,17.0,8.0,8.0,7.0,8.0,5.0,5.0,10.0,8.0,10.0,4.0,6.0,16.0,5.0,7.0,8.0,11.0,8.0,8.0,6.0,14.0,6.0,6.0,16.0,5.0,8.0,1.0,20.0,12.0,5.0
volleyball,11.0,13.0,8.0,12.0,5.0,5.0,5.0,11.0,8.0,4.0,12.0,17.0,4.0,9.0,5.0,11.0,9.0,12.0,5.0,10.0,9.0,16.0,6.0,10.0,5.0,7.0,10.0,12.0,20.0,10.0
walking,9.0,13.0,9.0,10.0,8.0,5.0,8.0,4.0,8.0,8.0,10.0,10.0,10.0,3.0,5.0,10.0,5.0,18.0,8.0,11.0,8.0,12.0,6.0,8.0,9.0,8.0,10.0,5.0,10.0,20.0
